generated_utc,as_of_date,scope,eval_period,league_scope,window_days,source_file,policy_mode,bet_type,signals,settled,unsettled,wins,losses,invalid_odds,staked_units,pnl_units,roi_pct,win_rate_pct,avg_value_pct,avg_pin_odds
2026-04-25T16:45:17+00:00,2026-04-24,all_time,legacy,ATP,7,strict-signals-spreadv1-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,clean,ATP,7,strict-signals-spreadv1-archive.csv,base,,71,54,17,26,28,0,108.0000,-6.9380,-6.4241,48.1481,11.9413,1.9404
2026-04-25T16:45:17+00:00,2026-04-24,window,clean,ATP,7,strict-signals-spreadv1-archive.csv,base,,58,41,17,18,23,0,82.0000,-12.0220,-14.6610,43.9024,10.7778,1.9393
2026-04-25T16:45:17+00:00,2026-04-24,all_time,legacy,ATP,7,strict-signals-spreadv1-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,clean,ATP,7,strict-signals-spreadv1-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,window,clean,ATP,7,strict-signals-spreadv1-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,legacy,ATP,7,strict-signals-spreadv1-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,clean,ATP,7,strict-signals-spreadv1-archive.csv,base,handicap,71,54,17,26,28,0,108.0000,-6.9380,-6.4241,48.1481,11.9413,1.9404
2026-04-25T16:45:17+00:00,2026-04-24,window,clean,ATP,7,strict-signals-spreadv1-archive.csv,base,handicap,58,41,17,18,23,0,82.0000,-12.0220,-14.6610,43.9024,10.7778,1.9393
2026-04-25T16:45:17+00:00,2026-04-24,window,overall,Challenger,7,strict-signals-spreadv1-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,overall,Challenger,7,strict-signals-spreadv1-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,window,overall,Challenger,7,strict-signals-spreadv1-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,overall,Challenger,7,strict-signals-spreadv1-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,window,overall,Challenger,7,strict-signals-spreadv1-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,overall,Challenger,7,strict-signals-spreadv1-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,legacy,Challenger,7,strict-signals-spreadv1-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,clean,Challenger,7,strict-signals-spreadv1-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,window,clean,Challenger,7,strict-signals-spreadv1-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,legacy,Challenger,7,strict-signals-spreadv1-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,clean,Challenger,7,strict-signals-spreadv1-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,window,clean,Challenger,7,strict-signals-spreadv1-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,legacy,Challenger,7,strict-signals-spreadv1-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,all_time,clean,Challenger,7,strict-signals-spreadv1-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-25T16:45:17+00:00,2026-04-24,window,clean,Challenger,7,strict-signals-spreadv1-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
