tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,bet_side,segment_family,segment_type,n_bets,wins,losses,pl_units,roi_pct_raw,roi_pct_shrunk,win_rate_pct_raw,n
australian open,Australian Open,year,2022,2022,2022,,fav,entry,entry_MD,100,79,21,5.54,5.54,3.2158,79.0,100
wimbledon,Wimbledon,year,2022,2022,2022,,dog,entry,entry_MD,99,28,71,-24.46,-24.7071,-20.49,28.2828,99
wimbledon,Wimbledon,year,2022,2022,2022,,fav,entry,entry_MD,99,71,28,-2.01,-2.0303,-2.612,71.7172,99
french open,French Open,year,2022,2022,2022,,fav,entry,entry_MD,98,74,24,1.245,1.2704,-0.0894,75.5102,98
us open,US Open,year,2022,2022,2022,,dog,entry,entry_MD,94,25,69,-13.4,-14.2553,-12.3969,26.5957,94
us open,US Open,year,2022,2022,2022,,fav,entry,entry_MD,94,69,25,-0.465,-0.4947,-1.4713,73.4043,94
australian open,Australian Open,year,2022,2022,2022,,dog,seed,seed_unseeded,89,21,68,-24.14,-27.1236,-21.9762,23.5955,89
french open,French Open,year,2022,2022,2022,,dog,seed,seed_unseeded,88,21,67,-29.43,-33.4432,-26.6455,23.8636,88
wimbledon,Wimbledon,year,2022,2022,2022,,dog,seed,seed_unseeded,88,25,63,-22.75,-25.8523,-20.9845,28.4091,88
french open,French Open,year,2022,2022,2022,,dog,entry,entry_MD,85,23,62,-20.84,-24.5176,-19.8367,27.0588,85
australian open,Australian Open,year,2022,2022,2022,,dog,entry,entry_MD,80,18,62,-23.37,-29.2125,-23.0383,22.5,80
us open,US Open,year,2022,2022,2022,,dog,seed,seed_unseeded,80,21,59,-11.16,-13.95,-11.9743,26.25,80
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,fav,entry,entry_MD,66,45,21,1.32,2.0,-0.0411,68.1818,66
miami open,Miami Open,year,2022,2022,2022,,fav,entry,entry_MD,63,41,22,-4.33,-6.873,-6.1177,65.0794,63
miami open,Miami Open,year,2022,2022,2022,,dog,seed,seed_unseeded,60,19,41,-4.62,-7.7,-7.3686,31.6667,60
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,dog,seed,seed_unseeded,53,16,37,-13.23,-24.9623,-18.3635,30.1887,53
miami open,Miami Open,year,2022,2022,2022,,dog,entry,entry_MD,49,17,32,1.32,2.6939,-0.8255,34.6939,49
european open,European Open,year,2022,2022,2022,,fav,entry,entry_MD,48,32,16,-0.51,-1.0625,-2.3967,66.6667,48
european open,European Open,year,2022,2022,2022,,dog,seed,seed_unseeded,47,16,31,-4.48,-9.5319,-8.4308,34.0426,47
wimbledon,Wimbledon,year,2022,2022,2022,,fav,seed,seed_unseeded,46,30,16,-1.81,-3.9348,-3.7822,65.2174,46
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,dog,entry,entry_MD,45,13,32,-10.04,-22.3111,-16.0162,28.8889,45
internazionali bnl d italia,Internazionali BNL d'Italia,year,2022,2022,2022,,dog,seed,seed_unseeded,40,11,29,-7.78,-19.45,-13.9882,27.5,40
bnp paribas masters,BNP Paribas Masters,year,2022,2022,2022,,dog,seed,seed_unseeded,39,14,25,4.78,12.2564,4.012,35.8974,39
internazionali bnl d italia,Internazionali BNL d'Italia,year,2022,2022,2022,,fav,entry,entry_MD,39,30,9,3.12,8.0,2.5516,76.9231,39
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,dog,seed,seed_unseeded,38,13,25,-2.09,-5.5,-6.032,34.2105,38
mutua madrid open,Mutua Madrid Open,year,2022,2022,2022,,fav,entry,entry_MD,38,22,16,-7.51,-19.7632,-13.0433,57.8947,38
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,fav,entry,entry_MD,37,24,13,-3.45,-9.3243,-7.1782,64.8649,37
bnp paribas masters,BNP Paribas Masters,year,2022,2022,2022,,fav,entry,entry_MD,36,25,11,-0.55,-1.5278,-2.8931,69.4444,36
french open,French Open,year,2022,2022,2022,,fav,seed,seed_unseeded,35,22,13,-0.17,-0.4857,-1.8991,62.8571,35
western southern financial group masters,Western & Southern Financial Group Masters,year,2022,2022,2022,,dog,seed,seed_unseeded,35,17,18,11.29,32.2571,14.2743,48.5714,35
canadian open,Canadian Open,year,2022,2022,2022,,fav,entry,entry_MD,34,23,11,5.35,15.7353,6.2353,67.6471,34
mutua madrid open,Mutua Madrid Open,year,2022,2022,2022,,dog,seed,seed_unseeded,34,13,21,5.94,17.4706,6.1379,38.2353,34
australian open,Australian Open,year,2022,2022,2022,,fav,seed,seed_unseeded,33,20,13,-1.13,-3.4242,-3.4832,60.6061,33
western southern financial group masters,Western & Southern Financial Group Masters,year,2022,2022,2022,,fav,entry,entry_MD,33,17,16,-9.92,-30.0606,-17.9038,51.5152,33
canadian open,Canadian Open,year,2022,2022,2022,,dog,seed,seed_unseeded,32,9,23,-7.79,-24.3438,-15.8092,28.125,32
citi open,Citi Open,year,2022,2022,2022,,fav,entry,entry_MD,32,15,17,-10.96,-34.25,-19.87,46.875,32
citi open,Citi Open,year,2022,2022,2022,,dog,seed,seed_unseeded,31,17,14,15.3,49.3548,21.784,54.8387,31
miami open,Miami Open,year,2022,2022,2022,,fav,seed,seed_unseeded,30,21,9,0.17,0.5667,-1.4907,70.0,30
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,dog,entry,entry_MD,30,14,16,7.98,26.6,10.0131,46.6667,30
us open,US Open,year,2022,2022,2022,,fav,seed,seed_unseeded,30,17,13,-2.39,-7.9667,-5.7574,56.6667,30
australian open,Australian Open,year,2022,2022,2022,,fav,seed,seed_17_32,29,22,7,-1.67,-5.7586,-5.453,75.8621,29
bnp paribas masters,BNP Paribas Masters,year,2022,2022,2022,,dog,entry,entry_MD,29,10,19,1.09,3.7586,-1.4952,34.4828,29
internazionali bnl d italia,Internazionali BNL d'Italia,year,2022,2022,2022,,dog,entry,entry_MD,29,9,20,0.2,0.6897,-3.0037,31.0345,29
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2022,2022,2022,,dog,seed,seed_unseeded,29,14,15,9.19,31.6897,12.1666,48.2759,29
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2022,2022,2022,,fav,entry,entry_MD,29,18,11,-0.08,-0.2759,-2.4397,62.069,29
grand prix hassan ii,Grand Prix Hassan II,year,2022,2022,2022,,fav,entry,entry_MD,28,16,12,-1.63,-5.8214,-5.1542,57.1429,28
mutua madrid open,Mutua Madrid Open,year,2022,2022,2022,,dog,entry,entry_MD,28,10,18,-5.24,-18.7143,-12.4348,35.7143,28
european open,European Open,year,2022,2022,2022,,dog,entry,entry_MD,27,10,17,0.62,2.2963,-2.3722,37.037,27
halle open,Halle Open,year,2022,2022,2022,,fav,entry,entry_MD,27,18,9,0.78,2.8889,-1.0165,66.6667,27
barcelona open,Barcelona Open,year,2022,2022,2022,,fav,entry,entry_MD,26,15,11,-5.6,-21.5385,-12.4275,57.6923,26
canadian open,Canadian Open,year,2022,2022,2022,,dog,entry,entry_MD,26,11,15,0.2,0.7692,-3.1646,42.3077,26
dubai tennis championships,Dubai Tennis Championships,year,2022,2022,2022,,dog,seed,seed_unseeded,26,9,17,10.87,41.8077,15.8183,34.6154,26
dubai tennis championships,Dubai Tennis Championships,year,2022,2022,2022,,fav,entry,entry_MD,26,17,9,-0.99,-3.8077,-4.1954,65.3846,26
halle open,Halle Open,year,2022,2022,2022,,dog,seed,seed_unseeded,26,7,19,-11.37,-43.7308,-23.896,26.9231,26
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,year,2022,2022,2022,,fav,entry,entry_MD,25,15,10,-3.62,-14.48,-9.0535,60.0,25
european open,European Open,year,2022,2022,2022,,fav,seed,seed_unseeded,25,18,7,3.14,12.56,3.7738,72.0,25
grand prix hassan ii,Grand Prix Hassan II,year,2022,2022,2022,,dog,seed,seed_unseeded,25,11,14,2.4,9.6,0.7059,44.0,25
sofia open,Sofia Open,year,2022,2022,2022,,dog,seed,seed_unseeded,25,12,13,4.58,18.32,4.6696,48.0,25
swiss indoors,Swiss Indoors,year,2022,2022,2022,,fav,entry,entry_MD,25,17,8,-1.21,-4.84,-4.6717,68.0,25
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,year,2022,2022,2022,,dog,seed,seed_unseeded,24,9,15,0.48,2.0,-2.8365,37.5,24
citi open,Citi Open,year,2022,2022,2022,,dog,entry,entry_MD,24,15,9,17.26,71.9167,28.3108,62.5,24
geneva open,Geneva Open,year,2022,2022,2022,,fav,entry,entry_MD,24,13,11,-5.26,-21.9167,-12.2582,54.1667,24
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2022,2022,2022,,dog,entry,entry_MD,24,11,13,4.32,18.0,4.3479,45.8333,24
sofia open,Sofia Open,year,2022,2022,2022,,fav,entry,entry_MD,24,12,12,-6.12,-25.5,-13.8508,50.0,24
swiss indoors,Swiss Indoors,year,2022,2022,2022,,dog,seed,seed_unseeded,24,7,17,-5.0,-20.8333,-12.9847,29.1667,24
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,fav,seed,seed_unseeded,23,16,7,4.06,17.6522,5.652,69.5652,23
french open,French Open,year,2022,2022,2022,,fav,seed,seed_17_32,23,16,7,-2.48,-10.7826,-7.5986,69.5652,23
maharashtra open,Maharashtra Open,year,2022,2022,2022,,fav,entry,entry_MD,23,15,8,0.11,0.4783,-2.3574,65.2174,23
open 13,Open 13,year,2022,2022,2022,,fav,entry,entry_MD,23,14,9,-2.75,-11.9565,-7.7536,60.8696,23
astana open,Astana Open,year,2022,2022,2022,,fav,entry,entry_MD,22,18,4,2.7,12.2727,2.578,81.8182,22
barcelona open,Barcelona Open,year,2022,2022,2022,,dog,seed,seed_unseeded,22,8,14,-3.79,-17.2273,-11.1572,36.3636,22
geneva open,Geneva Open,year,2022,2022,2022,,dog,seed,seed_unseeded,22,11,11,7.68,34.9091,10.9005,50.0,22
maharashtra open,Maharashtra Open,year,2022,2022,2022,,dog,seed,seed_unseeded,22,8,14,-0.58,-2.6364,-4.9841,36.3636,22
mercedes cup,Mercedes Cup,year,2022,2022,2022,,fav,entry,entry_MD,22,13,9,-0.48,-2.1818,-3.5373,59.0909,22
nordea open,Nordea Open,year,2022,2022,2022,,dog,seed,seed_unseeded,22,10,12,6.9,31.3636,9.4005,45.4545,22
open 13,Open 13,year,2022,2022,2022,,dog,seed,seed_unseeded,22,11,11,7.92,36.0,11.3621,50.0,22
queen s club championships,Queen's Club Championships,year,2022,2022,2022,,dog,seed,seed_unseeded,22,8,14,2.31,10.5,0.5736,36.3636,22
us open,US Open,year,2022,2022,2022,,fav,seed,seed_17_32,22,16,6,-0.88,-4.0,-4.6678,72.7273,22
vienna open,Vienna Open,year,2022,2022,2022,,dog,seed,seed_unseeded,22,5,17,-7.32,-33.2727,-17.9456,22.7273,22
vienna open,Vienna Open,year,2022,2022,2022,,fav,entry,entry_MD,22,17,5,0.81,3.6818,-1.0566,77.2727,22
wimbledon,Wimbledon,year,2022,2022,2022,,fav,seed,seed_17_32,22,17,5,1.99,9.0455,0.8515,77.2727,22
astana open,Astana Open,year,2022,2022,2022,,dog,seed,seed_unseeded,21,4,17,-5.89,-28.0476,-15.4936,19.0476,21
croatia open,Croatia Open,year,2022,2022,2022,,dog,seed,seed_unseeded,21,11,10,13.67,65.0952,22.8593,52.381,21
napoli cup,Napoli Cup,year,2022,2022,2022,,fav,entry,entry_MD,21,13,8,-1.34,-6.381,-5.293,61.9048,21
nordea open,Nordea Open,year,2022,2022,2022,,fav,entry,entry_MD,21,12,9,-3.24,-15.4286,-9.0185,57.1429,21
qatar exxon mobil open,Qatar Exxon Mobil Open,year,2022,2022,2022,,fav,entry,entry_MD,21,17,4,4.98,23.7143,7.0992,80.9524,21
queen s club championships,Queen's Club Championships,year,2022,2022,2022,,fav,entry,entry_MD,21,13,8,-0.81,-3.8571,-4.2538,61.9048,21
barcelona open,Barcelona Open,year,2022,2022,2022,,dog,entry,entry_MD,20,9,11,0.43,2.15,-3.0843,45.0,20
croatia open,Croatia Open,year,2022,2022,2022,,fav,entry,entry_MD,20,9,11,-8.35,-41.75,-19.4188,45.0,20
hall of fame championships,Hall of Fame Championships,year,2022,2022,2022,,fav,entry,entry_MD,20,14,6,1.88,9.4,1.0412,70.0,20
mallorca championships,Mallorca Championships,year,2022,2022,2022,,fav,entry,entry_MD,20,9,11,-4.59,-22.95,-11.8988,45.0,20
rosmalen grass court championships,Rosmalen Grass Court Championships,year,2022,2022,2022,,dog,seed,seed_unseeded,20,7,13,5.12,25.6,6.2165,35.0,20
san diego open,San Diego Open,year,2022,2022,2022,,fav,entry,entry_MD,20,16,4,4.94,24.7,7.1612,80.0,20
western southern financial group masters,Western & Southern Financial Group Masters,year,2022,2022,2022,,dog,entry,entry_MD,20,9,11,4.76,23.8,5.5757,45.0,20
bmw open,BMW Open,year,2022,2022,2022,,dog,seed,seed_unseeded,19,6,13,-1.48,-7.7895,-7.126,31.5789,19
grand prix hassan ii,Grand Prix Hassan II,year,2022,2022,2022,,dog,entry,entry_MD,19,10,9,3.14,16.5263,2.3834,52.6316,19
grand prix hassan ii,Grand Prix Hassan II,year,2022,2022,2022,,fav,seed,seed_unseeded,19,12,7,2.2,11.5789,2.3175,63.1579,19
internazionali bnl d italia,Internazionali BNL d'Italia,year,2022,2022,2022,,fav,seed,seed_unseeded,19,13,6,1.61,8.4737,1.1134,68.4211,19
los cabos open,Los Cabos Open,year,2022,2022,2022,,fav,entry,entry_MD,19,17,2,5.11,26.8947,7.6542,89.4737,19
mallorca championships,Mallorca Championships,year,2022,2022,2022,,dog,seed,seed_unseeded,19,10,9,7.33,38.5789,10.8536,52.6316,19
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,fav,seed,seed_unseeded,19,13,6,0.88,4.6316,-0.3764,68.4211,19
open de moselle,Open de Moselle,year,2022,2022,2022,,fav,entry,entry_MD,19,9,10,-6.19,-32.5789,-15.407,47.3684,19
rosmalen grass court championships,Rosmalen Grass Court Championships,year,2022,2022,2022,,fav,entry,entry_MD,19,12,7,-2.3,-12.1053,-7.4682,63.1579,19
serbia open,Serbia Open,year,2022,2022,2022,,fav,entry,entry_MD,19,13,6,-1.47,-7.7368,-5.7743,68.4211,19
tel aviv open,Tel Aviv Open,year,2022,2022,2022,,dog,seed,seed_unseeded,19,6,13,-0.75,-3.9474,-5.6362,31.5789,19
tel aviv open,Tel Aviv Open,year,2022,2022,2022,,fav,entry,entry_MD,19,12,7,-1.51,-7.9474,-5.856,63.1579,19
abierto mexicano,Abierto Mexicano,year,2022,2022,2022,,fav,entry,entry_MD,18,12,6,-4.23,-23.5,-11.6446,66.6667,18
bmw open,BMW Open,year,2022,2022,2022,,fav,entry,entry_MD,18,11,7,-1.28,-7.1111,-5.4988,61.1111,18
bnp paribas masters,BNP Paribas Masters,year,2022,2022,2022,,fav,seed,seed_unseeded,18,12,6,0.79,4.3889,-0.5717,66.6667,18
canadian open,Canadian Open,year,2022,2022,2022,,fav,seed,seed_unseeded,18,14,4,4.91,27.2778,8.0116,77.7778,18
french open,French Open,year,2022,2022,2022,,fav,seed,seed_5_8,18,17,1,2.045,11.3611,2.1322,94.4444,18
geneva open,Geneva Open,year,2022,2022,2022,,dog,entry,entry_MD,18,9,9,6.31,35.0556,9.0372,50.0,18
lyon open,Lyon Open,year,2022,2022,2022,,dog,seed,seed_unseeded,18,6,12,-0.57,-3.1667,-5.3786,33.3333,18
lyon open,Lyon Open,year,2022,2022,2022,,fav,entry,entry_MD,18,13,5,0.55,3.0556,-1.6863,72.2222,18
maharashtra open,Maharashtra Open,year,2022,2022,2022,,dog,entry,entry_MD,18,7,11,0.63,3.5,-2.7962,38.8889,18
melbourne summer set,Melbourne Summer Set,year,2022,2022,2022,,dog,seed,seed_unseeded,18,5,13,-0.02,-0.1111,-4.2328,27.7778,18
open sud de france,Open Sud de France,year,2022,2022,2022,,fav,entry,entry_MD,18,10,8,-3.02,-16.7778,-9.1238,55.5556,18
san diego open,San Diego Open,year,2022,2022,2022,,dog,seed,seed_unseeded,18,4,14,-7.34,-40.7778,-19.4828,22.2222,18
stockholm open,Stockholm Open,year,2022,2022,2022,,fav,entry,entry_MD,18,10,8,-4.61,-25.6111,-12.4363,55.5556,18
sydney tennis classic,Sydney Tennis Classic,year,2022,2022,2022,,dog,seed,seed_unseeded,18,6,12,-7.43,-41.2778,-19.6703,33.3333,18
adelaide international 2,Adelaide International 2,year,2022,2022,2022,,dog,seed,seed_unseeded,17,10,7,5.73,33.7059,7.9112,58.8235,17
cordoba open,Cordoba Open,year,2022,2022,2022,,dog,seed,seed_unseeded,17,9,8,2.88,16.9412,1.8474,52.9412,17
dallas open,Dallas Open,year,2022,2022,2022,,dog,seed,seed_unseeded,17,4,13,-5.35,-31.4706,-15.6633,23.5294,17
dallas open,Dallas Open,year,2022,2022,2022,,fav,entry,entry_MD,17,12,5,1.61,9.4706,0.5331,70.5882,17
delray beach open,Delray Beach Open,year,2022,2022,2022,,dog,seed,seed_unseeded,17,7,10,0.02,0.1176,-4.2377,41.1765,17
delray beach open,Delray Beach Open,year,2022,2022,2022,,fav,entry,entry_MD,17,9,8,-3.83,-22.5294,-11.0413,52.9412,17
firenze open,Firenze Open,year,2022,2022,2022,,dog,seed,seed_unseeded,17,4,13,1.31,7.7059,-1.4931,23.5294,17
hall of fame championships,Hall of Fame Championships,year,2022,2022,2022,,dog,seed,seed_unseeded,17,3,14,-2.47,-14.5294,-9.5356,17.6471,17
melbourne summer set,Melbourne Summer Set,year,2022,2022,2022,,fav,entry,entry_MD,17,13,4,3.17,18.6471,3.8523,76.4706,17
mercedes cup,Mercedes Cup,year,2022,2022,2022,,dog,seed,seed_unseeded,17,7,10,-0.63,-3.7059,-5.6207,41.1765,17
napoli cup,Napoli Cup,year,2022,2022,2022,,dog,entry,entry_MD,17,8,9,3.37,19.8235,2.9741,47.0588,17
napoli cup,Napoli Cup,year,2022,2022,2022,,dog,seed,seed_unseeded,17,4,13,-6.67,-39.2353,-18.4718,23.5294,17
open sud de france,Open Sud de France,year,2022,2022,2022,,dog,seed,seed_unseeded,17,5,12,-3.4,-20.0,-11.5143,29.4118,17
qatar exxon mobil open,Qatar Exxon Mobil Open,year,2022,2022,2022,,dog,seed,seed_unseeded,17,3,14,-8.77,-51.5882,-22.9399,17.6471,17
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2022,2022,2022,,fav,seed,seed_unseeded,17,9,8,-2.54,-14.9412,-7.669,52.9412,17
serbia open,Serbia Open,year,2022,2022,2022,,dog,seed,seed_unseeded,17,5,12,-3.64,-21.4118,-12.025,29.4118,17
sofia open,Sofia Open,year,2022,2022,2022,,dog,entry,entry_MD,17,10,7,7.45,43.8235,11.655,58.8235,17
suisse open gstaad,Suisse Open Gstaad,year,2022,2022,2022,,dog,seed,seed_unseeded,17,9,8,2.9,17.0588,1.8899,52.9412,17
us open,US Open,year,2022,2022,2022,,fav,seed,seed_9_16,17,16,1,3.59,21.1176,7.9994,94.1176,17
vienna open,Vienna Open,year,2022,2022,2022,,dog,entry,entry_MD,17,5,12,-2.32,-13.6471,-9.1322,29.4118,17
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,year,2022,2022,2022,,dog,entry,entry_MD,16,7,9,0.51,3.1875,-3.1786,43.75,16
australian open,Australian Open,year,2022,2022,2022,,fav,seed,seed_9_16,16,14,2,2.51,15.6875,5.8255,87.5,16
citi open,Citi Open,year,2022,2022,2022,,fav,seed,seed_unseeded,16,7,9,-6.6,-41.25,-16.6618,43.75,16
delray beach open,Delray Beach Open,year,2022,2022,2022,,dog,entry,entry_MD,16,7,9,-0.06,-0.375,-4.4177,43.75,16
firenze open,Firenze Open,year,2022,2022,2022,,fav,entry,entry_MD,16,12,4,1.37,8.5625,0.023,75.0,16
gijon open,Gijon Open,year,2022,2022,2022,,dog,seed,seed_unseeded,16,6,10,-3.29,-20.5625,-11.5255,37.5,16
korea open,Korea Open,year,2022,2022,2022,,dog,seed,seed_unseeded,16,7,9,5.54,34.625,7.6701,43.75,16
los cabos open,Los Cabos Open,year,2022,2022,2022,,dog,entry,entry_MD,16,2,14,-11.37,-71.0625,-29.0047,12.5,16
mercedes cup,Mercedes Cup,year,2022,2022,2022,,dog,entry,entry_MD,16,7,9,-0.9,-5.625,-6.2438,43.75,16
mutua madrid open,Mutua Madrid Open,year,2022,2022,2022,,fav,seed,seed_unseeded,16,8,8,-4.24,-26.5,-11.5314,50.0,16
open 13,Open 13,year,2022,2022,2022,,dog,entry,entry_MD,16,6,10,-2.6,-16.25,-9.9395,37.5,16
open de moselle,Open de Moselle,year,2022,2022,2022,,dog,seed,seed_unseeded,16,9,7,9.22,57.625,15.6701,56.25,16
qatar exxon mobil open,Qatar Exxon Mobil Open,year,2022,2022,2022,,dog,entry,entry_MD,16,4,12,-5.41,-33.8125,-16.0482,25.0,16
san diego open,San Diego Open,year,2022,2022,2022,,dog,entry,entry_MD,16,5,11,-4.19,-26.1875,-13.396,31.25,16
serbia open,Serbia Open,year,2022,2022,2022,,dog,entry,entry_MD,16,5,11,-2.67,-16.6875,-10.0916,31.25,16
sydney tennis classic,Sydney Tennis Classic,year,2022,2022,2022,,fav,entry,entry_MD,16,11,5,3.44,21.5,4.523,68.75,16
abierto mexicano,Abierto Mexicano,year,2022,2022,2022,,dog,seed,seed_unseeded,15,4,11,4.88,32.5333,6.3739,26.6667,15
australian open,Australian Open,year,2022,2022,2022,,dog,entry,entry_Q,15,4,11,-2.88,-19.2,-6.717,26.6667,15
dallas open,Dallas Open,year,2022,2022,2022,,dog,entry,entry_MD,15,4,11,-5.84,-38.9333,-17.3603,26.6667,15
generali open,Generali Open,year,2022,2022,2022,,dog,seed,seed_unseeded,15,7,8,3.08,20.5333,2.3739,46.6667,15
geneva open,Geneva Open,year,2022,2022,2022,,fav,seed,seed_unseeded,15,7,8,-3.28,-21.8667,-9.6543,46.6667,15
halle open,Halle Open,year,2022,2022,2022,,dog,entry,entry_MD,15,3,12,-6.01,-40.0667,-17.7381,20.0,15
korea open,Korea Open,year,2022,2022,2022,,fav,entry,entry_MD,15,7,8,-5.44,-36.2667,-15.1098,46.6667,15
los cabos open,Los Cabos Open,year,2022,2022,2022,,dog,seed,seed_unseeded,15,1,14,-12.46,-83.0667,-32.1594,6.6667,15
mallorca championships,Mallorca Championships,year,2022,2022,2022,,dog,entry,entry_MD,15,8,7,4.61,30.7333,5.8619,53.3333,15
rio open,Rio Open,year,2022,2022,2022,,dog,seed,seed_unseeded,15,5,10,-3.1,-20.6667,-11.3594,33.3333,15
stockholm open,Stockholm Open,year,2022,2022,2022,,dog,seed,seed_unseeded,15,4,11,-4.75,-31.6667,-15.0261,26.6667,15
suisse open gstaad,Suisse Open Gstaad,year,2022,2022,2022,,fav,entry,entry_MD,15,8,7,-2.65,-17.6667,-8.9098,53.3333,15
adelaide international 1,Adelaide International 1,year,2022,2022,2022,,dog,seed,seed_unseeded,14,5,9,-2.53,-18.0714,-10.3221,35.7143,14
adelaide international 1,Adelaide International 1,year,2022,2022,2022,,fav,entry,entry_MD,14,9,5,1.38,9.8571,0.0468,64.2857,14
astana open,Astana Open,year,2022,2022,2022,,dog,entry,entry_MD,14,2,12,-9.22,-65.8571,-25.4367,14.2857,14
atlanta open,Atlanta Open,year,2022,2022,2022,,dog,seed,seed_unseeded,14,2,12,-10.41,-74.3571,-28.2312,14.2857,14
atlanta open,Atlanta Open,year,2022,2022,2022,,fav,entry,entry_MD,14,12,2,3.51,25.0714,4.8877,85.7143,14
australian open,Australian Open,year,2022,2022,2022,,fav,seed,seed_5_8,14,13,1,2.95,21.0714,4.3829,92.8571,14
bnp paribas open,BNP Paribas Open,year,2022,2022,2022,,fav,seed,seed_17_32,14,8,6,-1.61,-11.5,-7.1756,57.1429,14
chile open,Chile Open,year,2022,2022,2022,,dog,seed,seed_unseeded,14,5,9,-4.08,-29.1429,-13.8448,35.7143,14
chile open,Chile Open,year,2022,2022,2022,,fav,entry,entry_MD,14,8,6,-2.38,-17.0,-8.4987,57.1429,14
eastbourne international,Eastbourne International,year,2022,2022,2022,,dog,seed,seed_unseeded,14,6,8,1.52,10.8571,-1.1176,42.8571,14
firenze open,Firenze Open,year,2022,2022,2022,,dog,entry,entry_MD,14,4,10,4.31,30.7857,5.3133,28.5714,14
gijon open,Gijon Open,year,2022,2022,2022,,fav,entry,entry_MD,14,9,5,-0.85,-6.0714,-5.0214,64.2857,14
hall of fame championships,Hall of Fame Championships,year,2022,2022,2022,,dog,entry,entry_MD,14,4,10,-2.75,-19.6429,-10.7322,28.5714,14
maharashtra open,Maharashtra Open,year,2022,2022,2022,,fav,seed,seed_unseeded,14,9,5,0.68,4.8571,-0.8737,64.2857,14
millennium estoril open,Millennium Estoril Open,year,2022,2022,2022,,dog,seed,seed_unseeded,14,5,9,-2.56,-18.2857,-10.3903,35.7143,14
open sud de france,Open Sud de France,year,2022,2022,2022,,dog,entry,entry_MD,14,6,8,5.52,39.4286,8.0633,42.8571,14
tel aviv open,Tel Aviv Open,year,2022,2022,2022,,dog,entry,entry_MD,14,5,9,-0.71,-5.0714,-6.0958,35.7143,14
u s men s clay court championships,U.S. Men's Clay Court Championships,year,2022,2022,2022,,fav,entry,entry_MD,14,10,4,2.46,17.5714,2.5013,71.4286,14
western southern financial group masters,Western & Southern Financial Group Masters,year,2022,2022,2022,,fav,seed,seed_unseeded,14,5,9,-6.32,-45.1429,-16.7828,35.7143,14
barcelona open,Barcelona Open,year,2022,2022,2022,,fav,seed,seed_unseeded,13,8,5,-2.24,-17.2308,-7.6847,61.5385,13
bmw open,BMW Open,year,2022,2022,2022,,dog,entry,entry_MD,13,5,8,1.52,11.6923,-1.0515,38.4615,13
dubai tennis championships,Dubai Tennis Championships,year,2022,2022,2022,,dog,entry,entry_MD,13,2,11,-9.17,-70.5385,-25.912,15.3846,13
european open,European Open,year,2022,2022,2022,,fav,seed,seed_1_2,13,10,3,-0.38,-2.9231,-4.1771,76.9231,13
generali open,Generali Open,year,2022,2022,2022,,fav,entry,entry_MD,13,8,5,0.35,2.6923,-2.3475,61.5385,13
generali open,Generali Open,year,2022,2022,2022,,fav,seed,seed_unseeded,13,7,6,-1.82,-14.0,-6.708,53.8462,13
lyon open,Lyon Open,year,2022,2022,2022,,dog,entry,entry_MD,13,5,8,2.23,17.1538,0.5996,38.4615,13
melbourne summer set,Melbourne Summer Set,year,2022,2022,2022,,dog,entry,entry_MD,13,3,10,-0.69,-5.3077,-6.1911,23.0769,13
miami open,Miami Open,year,2022,2022,2022,,fav,seed,seed_17_32,13,7,6,-1.8,-13.8462,-7.7843,53.8462,13
nordea open,Nordea Open,year,2022,2022,2022,,dog,entry,entry_MD,13,7,6,6.5,50.0,10.5299,53.8462,13
queen s club championships,Queen's Club Championships,year,2022,2022,2022,,fav,seed,seed_unseeded,13,8,5,2.01,15.4615,2.199,61.5385,13
rakuten japan open tennis championships,Rakuten Japan Open Tennis Championships,year,2022,2022,2022,,dog,seed,seed_unseeded,13,4,9,-4.13,-31.7692,-14.2831,30.7692,13
rakuten japan open tennis championships,Rakuten Japan Open Tennis Championships,year,2022,2022,2022,,fav,entry,entry_MD,13,10,3,1.22,9.3846,-0.3242,76.9231,13
rio open,Rio Open,year,2022,2022,2022,,fav,entry,entry_MD,13,7,6,-2.16,-16.6154,-8.1847,53.8462,13
sofia open,Sofia Open,year,2022,2022,2022,,fav,seed,seed_unseeded,13,6,7,-4.31,-33.1538,-12.4987,46.1538,13
stockholm open,Stockholm Open,year,2022,2022,2022,,dog,entry,entry_MD,13,6,7,3.35,25.7692,3.2043,46.1538,13
