tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-7808,Bengaluru,Hard,32,C,O,20260105,16,MO44,1,,Pedro Martinez,R,185,ESP,,96,643,V993,,,Eero Vasa,R,185,FIN,,489,88,4-6 6-2 6-3,3,R32,129,5,10,91,53,39,19,14,7,10,12,6,88,49,33,16,13,4,9
2026-7808,Bengaluru,Hard,32,C,O,20260105,17,SK94,,,Cedrik-Marcel Stebe,L,180,GER,,346,142,H0CX,7,,Max Houkes,L,188,NED,,245,221,4-6 6-3 6-1,3,R32,150,4,4,93,52,35,24,13,7,9,3,3,97,49,29,25,13,12,17
2026-7808,Bengaluru,Hard,32,C,O,20260105,18,B0WL,,,Felix Balshaw,R,191,FRA,,718,44,HG94,8,,Benjamin Hassan,R,183,LBN,,259,208,6-4 6-1,3,R32,307,8,5,66,35,28,15,9,7,8,2,1,48,29,18,6,8,3,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,19,GG65,,,Michael Geerts,R,178,BEL,,295,178,GJ05,,,Alexis Gautier,R,198,FRA,,759,38,3-6 6-4 6-3,3,R32,536,9,4,95,51,39,22,14,8,10,11,5,104,64,43,20,14,9,12
2026-7808,Bengaluru,Hard,32,C,O,20260105,20,GH92,,,Borna Gojo,R,196,CRO,,293,178,S0RI,,,Karan Singh,R,185,IND,,466,94,6-2 6-4,3,R32,64,13,0,42,30,27,9,9,0,0,4,2,66,47,27,11,9,2,5
2026-7808,Bengaluru,Hard,32,C,O,20260105,21,L0I5,,,Mitsuki Wei Kang Leong,R,175,MAS,,774,36,O09A,,,Aziz Ouakaa,R,185,TUN,,656,53,6-2 6-2,3,R32,65,3,2,42,30,26,5,8,0,1,2,1,52,28,14,8,8,3,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,22,S0DE,,,Dhakshineswar Suresh,R,196,IND,,521,79,A0CJ,,,Duje Ajdukovic,R,188,CRO,,329,153,6-4 6-4,3,R32,59,20,2,52,38,34,7,10,0,0,6,3,52,31,25,10,10,1,3
2026-7808,Bengaluru,Hard,32,C,O,20260105,23,V0D4,,,Eric Vanshelboim,R,188,UKR,,470,93,V0D0,,,Niels Visker,R,191,NED,,702,46,3-6 6-2 6-4,3,R32,109,3,2,94,67,48,14,14,9,11,5,3,72,45,33,13,13,5,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,24,Z09Z,,,Beibit Zhukayev,R,198,KAZ,,277,193,S0W8,,,Aryan Shah,R,183,IND,,398,119,6-1 6-2,3,R32,77,11,3,52,31,25,11,8,4,4,1,5,51,25,14,11,7,4,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,25,M0G4,2,,Harold Mayot,R,180,FRA,,167,345,B0LQ,,,Petr Bar Biryukov,L,196,RUS,,326,156,6-1 6-4,3,R32,65,2,3,53,32,24,12,9,1,2,4,11,56,26,20,9,8,3,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,26,MW76,,,Matteo Martineau,R,183,FRA,,319,158,CI14,3,,Jay Clarke,R,183,GBR,,174,330,4-6 6-1 6-2,3,R32,136,7,4,95,63,44,17,13,8,9,0,6,71,47,31,9,12,3,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,27,F0BT,,,Jonas Forejtek,R,183,CZE,,441,105,HG86,4,,Lloyd Harris,R,193,RSA,,220,256,7-6(5) 6-4,3,R32,105,6,2,87,56,48,13,11,8,8,12,1,70,43,34,13,11,2,3
2026-7808,Bengaluru,Hard,32,C,O,20260105,28,D0JI,,,Manas Dhamne,R,183,IND,,556,71,D0L3,5,,Matej Dodig,R,188,CRO,,231,244,7-5 4-6 6-1,3,R32,125,3,2,81,54,42,17,15,2,3,12,5,91,61,42,15,14,4,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,29,S0GR,6,,Timofey Skatov,R,173,KAZ,,235,238,O0AD,,,Neil Oberleitner,R,191,AUT,,427,109,6-3 6-3,3,R32,61,1,0,41,26,24,12,9,0,0,7,3,55,36,24,9,9,3,6
2026-7808,Bengaluru,Hard,32,C,O,20260105,30,M0C2,,,Dan Martin,R,175,CAN,,421,110,O659,,,Vladyslav Orlov,R,188,UKR,,498,86,6-7(4) 7-5 6-4,3,R32,157,10,5,96,59,47,19,17,4,7,6,5,116,67,45,25,17,8,13
2026-7808,Bengaluru,Hard,32,C,O,20260105,31,N897,,,Sumit Nagal,R,178,IND,,275,195,DH23,,,S D Prajwal Dev,R,175,IND,,632,57,6-3 6-3,3,R32,78,8,2,47,30,24,11,9,4,5,1,2,55,37,22,7,9,5,9
2026-7808,Bengaluru,Hard,32,C,O,20260105,8,MO44,1,,Pedro Martinez,R,185,ESP,,96,643,GG65,,,Michael Geerts,R,178,BEL,,295,178,7-6(3) 6-3,3,R16,114,6,3,59,39,29,11,10,3,5,7,3,82,39,25,18,11,6,10
2026-7808,Bengaluru,Hard,32,C,O,20260105,9,M0G4,2,,Harold Mayot,R,180,FRA,,167,345,N897,,,Sumit Nagal,R,178,IND,,275,195,7-6(2) 1-6 7-6(11),3,R16,189,10,1,103,64,43,25,15,3,6,2,3,125,88,58,23,16,9,10
2026-7808,Bengaluru,Hard,32,C,O,20260105,10,S0GR,6,,Timofey Skatov,R,173,KAZ,,235,238,L0I5,,,Mitsuki Wei Kang Leong,R,175,MAS,,774,36,6-3 7-5,3,R16,92,3,0,52,27,21,16,10,2,3,8,3,71,39,25,16,11,5,9
2026-7808,Bengaluru,Hard,32,C,O,20260105,11,D0JI,,,Manas Dhamne,R,183,IND,,556,71,Z09Z,,,Beibit Zhukayev,R,198,KAZ,,277,193,6-2 3-6 6-2,3,R16,112,4,2,64,37,29,15,12,0,2,6,6,80,43,31,13,13,3,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,12,F0BT,,,Jonas Forejtek,R,183,CZE,,441,105,M0C2,,,Dan Martin,R,175,CAN,,421,110,6-7(5) 6-1 6-4,3,R16,121,19,1,80,45,40,19,15,2,4,4,1,93,60,38,15,14,7,12
2026-7808,Bengaluru,Hard,32,C,O,20260105,13,MW76,,,Matteo Martineau,R,183,FRA,,319,158,V0D4,,,Eric Vanshelboim,R,188,UKR,,470,93,6-2 6-2,3,R16,62,5,2,44,31,25,8,8,0,0,0,0,45,35,19,4,8,3,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,14,SK94,,,Cedrik-Marcel Stebe,L,180,GER,,346,142,GH92,,,Borna Gojo,R,196,CRO,,293,178,7-5 7-6(9),3,R16,132,3,0,95,58,42,25,12,7,7,10,7,88,59,45,14,12,5,6
2026-7808,Bengaluru,Hard,32,C,O,20260105,15,S0DE,,,Dhakshineswar Suresh,R,196,IND,,521,79,B0WL,,,Felix Balshaw,R,191,FRA,,718,44,6-3 1-6 7-6(4),3,R16,121,11,0,103,61,43,21,14,13,16,11,2,81,49,39,17,14,3,5
2026-7808,Bengaluru,Hard,32,C,O,20260105,4,MO44,1,,Pedro Martinez,R,185,ESP,,96,643,SK94,,,Cedrik-Marcel Stebe,L,180,GER,,346,142,6-2 6-0,3,QF,76,2,4,47,33,27,4,7,5,6,2,2,59,40,18,7,7,9,15
2026-7808,Bengaluru,Hard,32,C,O,20260105,5,M0G4,2,,Harold Mayot,R,180,FRA,,167,345,S0DE,,,Dhakshineswar Suresh,R,196,IND,,521,79,7-6(5) 6-2,3,QF,88,6,0,56,36,32,14,10,0,0,3,4,78,44,37,12,10,7,9
2026-7808,Bengaluru,Hard,32,C,O,20260105,6,S0GR,6,,Timofey Skatov,R,173,KAZ,,235,238,F0BT,,,Jonas Forejtek,R,183,CZE,,441,105,6-4 6-2,3,QF,87,1,1,63,43,33,11,9,5,5,3,2,56,28,18,13,9,1,4
2026-7808,Bengaluru,Hard,32,C,O,20260105,7,MW76,,,Matteo Martineau,R,183,FRA,,319,158,D0JI,,,Manas Dhamne,R,183,IND,,556,71,6-4 7-6(5),3,QF,116,6,3,77,51,43,11,11,5,5,2,1,70,45,29,18,11,2,3
2026-7808,Bengaluru,Hard,32,C,O,20260105,2,MO44,1,,Pedro Martinez,R,185,ESP,,96,643,MW76,,,Matteo Martineau,R,183,FRA,,319,158,7-6(4) 6-1,3,SF,98,2,2,64,49,36,9,10,1,2,6,4,58,36,26,9,9,5,8
