generated_at,captured_at,match_date,kickoff_at,competition,league_key,home_team,away_team,bookmaker,player_name,model_prob,fair_odds,market_odds,market_prob,edge_pp,ev_pct,signal_status,confidence,player_team,opponent_team,position,expected_minutes,assist_rate_per90,xa_rate_per90,history_minutes,team_attack_scale,setpiece_lambda,corner_share_last5_pct,fk_share_last5_pct,setpiece_share_last5_pct,join_status,notes
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Levante UD,RCD Mallorca,Bet365,Jon Ander Olasagasti,0.230544,4.338,7.000,0.142857,8.77,61.38,shadow_signal,medium,levante,mallorca,FW,86.4,0.1956,0.1775,1539,1.325,0.0284,60.71,50.0,56.1,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,OGC Nice,FC Metz,Bet365,Gauthier Hein,0.215254,4.646,7.000,0.142857,7.24,50.68,shadow_signal,high,metz,nice,FWR,82.8,0.2389,0.1605,2265,1.137,0.0460,90.91,100.0,94.12,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Lyon,Racing Club De Lens,Bet365,Adrien Thomasson,0.289622,3.453,4.500,0.222222,6.74,30.33,shadow_signal,high,lens,lyon,Sub,85.8,0.2941,0.2458,3354,1.321,0.0113,25.81,16.67,24.32,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Elche CF,Getafe CF,Bet365,Luis Milla,0.230801,4.333,6.000,0.166667,6.41,38.48,shadow_signal,high,getafe,elche,MC,89.2,0.2241,0.1759,3558,1.110,0.0502,100.0,100.0,96.88,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T12:24:17Z,2026-05-17,2026-05-17T13:00:00Z,Italy - Serie A,serie-a,Inter Milano,Hellas Verona,Bet365,Federico Dimarco,0.346074,2.890,3.500,0.285714,6.04,21.13,shadow_signal,high,inter,verona,DML,80.1,0.4161,0.4110,2972,1.127,0.0108,36.0,0.0,30.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Lyon,Racing Club De Lens,Bet365,Matthieu Udol,0.287362,3.480,5.500,0.181818,10.55,58.05,no_edge,low,lens,lyon,Sub,90.0,0.1841,0.2955,2963,1.321,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,FC Nantes,Toulouse FC,Bet365,Mohamed Kaba,0.147737,6.769,11.000,0.090909,5.68,62.51,no_edge,low,nantes,toulouse,MC,82.5,0.1518,0.1495,938,1.160,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Lyon,Racing Club De Lens,Bet365,Saud Abdulhamid,0.184129,5.431,7.500,0.133333,5.08,38.10,no_edge,low,lens,lyon,DMR,82.2,0.2021,0.1505,1282,1.321,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Atletico Madrid,Girona FC,Bet365,Azz-Eddine Ounahi,0.201250,4.969,6.500,0.153846,4.74,30.81,no_edge,low,girona,atletico madrid,AMC,81.4,0.1370,0.2523,1597,1.173,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Lyon,Racing Club De Lens,Bet365,Florian Thauvin,0.217281,4.602,5.500,0.181818,3.55,19.50,watch,high,lens,lyon,AMC,60.5,0.1831,0.3095,2442,1.321,0.0094,32.26,16.67,29.73,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-18,2026-05-18T19:00:00Z,England - Premier League,epl,Arsenal FC,Burnley FC,Bet365,Hannibal Mejbri,0.133788,7.475,10.000,0.100000,3.38,33.79,no_edge,low,burnley,arsenal,AMC,69.1,0.2606,0.2003,1103,0.845,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,FC Lorient,Le Havre AC,Bet365,Pablo Pagis,0.214397,4.664,5.500,0.181818,3.26,17.92,watch,high,lorient,le havre,AMC,73.0,0.2184,0.2104,1902,1.212,0.0317,83.33,63.64,72.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T13:25:00Z,2026-05-17,2026-05-17T14:00:00Z,England - Premier League,epl,Leeds United,Brighton & Hove Albion,Bet365,Anton Stach,0.169913,5.885,7.000,0.142857,2.71,18.94,watch,high,leeds,brighton,MC,86.2,0.1146,0.1962,2319,0.962,0.0317,72.22,50.0,62.96,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-19,2026-05-19T18:30:00Z,England - Premier League,epl,AFC Bournemouth,Manchester City,Bet365,Marcos Senesi,0.103275,9.683,13.000,0.076923,2.64,34.26,no_edge,low,bournemouth,manchester city,DC,90.0,0.1156,0.0945,3267,1.070,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-18,2026-05-18T19:00:00Z,England - Premier League,epl,Arsenal FC,Burnley FC,Bet365,Jaidon Anthony,0.115044,8.692,11.000,0.090909,2.41,26.55,watch,high,burnley,arsenal,AML,89.4,0.0978,0.1560,2597,0.845,0.0084,11.76,25.0,14.29,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,OGC Nice,FC Metz,Bet365,Giorgi Tsitaishvili,0.147081,6.799,8.000,0.125000,2.21,17.66,no_edge,low,metz,nice,AML,89.5,0.1013,0.1619,2475,1.137,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T13:25:00Z,2026-05-17,2026-05-17T14:00:00Z,England - Premier League,epl,Everton FC,Sunderland AFC,Bet365,Enzo Le Fee,0.175767,5.689,6.500,0.153846,2.19,14.25,watch,high,sunderland,everton,AMC,79.1,0.1666,0.1854,2773,1.064,0.0260,64.29,45.45,56.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:24:56Z,2026-05-17,2026-05-17T18:45:00Z,Italy - Serie A,serie-a,Cagliari Calcio,Torino FC,Bet365,Rafael Obrador,0.132982,7.520,9.000,0.111111,2.19,19.68,watch,medium,torino,cagliari,DML,84.6,0.1389,0.0791,979,1.310,0.0195,40.0,40.0,37.5,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T13:25:00Z,2026-05-17,2026-05-17T14:00:00Z,England - Premier League,epl,Brentford FC,Crystal Palace,Bet365,Adam Wharton,0.154774,6.461,7.500,0.133333,2.14,16.08,watch,high,crystal palace,brentford,Sub,57.2,0.1795,0.2224,3061,1.178,0.0127,31.58,50.0,33.33,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Athletic Bilbao,RC Celta de Vigo,Bet365,Alvarez Yeray,0.067870,14.734,21.000,0.047619,2.03,42.53,no_edge,low,,athletic club,Unknown,68.0,0.0900,0.0900,0,1.034,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Paris FC,Paris Saint-Germain,Bet365,Otavio da Silva,0.067197,14.882,21.000,0.047619,1.96,41.11,no_edge,low,,paris fc,Unknown,68.0,0.0900,0.0900,0,1.023,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:48Z,2026-05-17,2026-05-17T19:15:00Z,Spain - LaLiga,la-liga,FC Barcelona,Real Betis Seville,Bet365,Abdessamad Ezzalzouli,0.173021,5.780,6.500,0.153846,1.92,12.46,no_edge,low,real betis,barcelona,ML,81.4,0.2545,0.2021,2742,0.953,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Lyon,Racing Club De Lens,Bet365,Mamadou Sangare,0.136649,7.318,8.500,0.117647,1.90,16.15,no_edge,high,lens,lyon,MC,83.1,0.1414,0.1092,2347,1.321,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Strasbourg Alsace,AS Monaco,Bet365,Denis Zakaria,0.109824,9.105,11.000,0.090909,1.89,20.81,no_edge,high,monaco,strasbourg,MC,90.0,0.1079,0.0774,3355,1.321,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-19,2026-05-19T18:30:00Z,England - Premier League,epl,AFC Bournemouth,Manchester City,Bet365,Marcus Tavernier,0.172273,5.805,6.500,0.153846,1.84,11.98,no_edge,high,bournemouth,manchester city,AML,89.4,0.1300,0.1828,3115,1.070,0.0145,36.36,16.67,31.03,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Real Sociedad San Sebastian,Valencia CF,Bet365,Jose Manuel Copete,0.065740,15.212,21.000,0.047619,1.81,38.05,no_edge,low,,real sociedad san sebastian,Unknown,68.0,0.0900,0.0900,0,1.000,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Lyon,Racing Club De Lens,Bet365,Afonso Moreira,0.267382,3.740,4.000,0.250000,1.74,6.95,no_edge,medium,lyon,lens,FW,89.4,0.2982,0.2534,1605,1.094,0.0189,61.9,0.0,44.07,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,FC Nantes,Toulouse FC,Bet365,Frederic Guilbert,0.128012,7.812,9.000,0.111111,1.69,15.21,no_edge,low,nantes,toulouse,ML,76.8,0.0773,0.1688,614,1.160,0.0017,0.0,9.09,2.86,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Lyon,Racing Club De Lens,Bet365,Wesley Said,0.158646,6.303,7.000,0.142857,1.58,11.05,no_edge,high,lens,lyon,AMC,66.2,0.1014,0.2187,2473,1.321,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Elche CF,Getafe CF,Bet365,Dakonam Djene,0.074566,13.411,17.000,0.058824,1.57,26.76,no_edge,low,,elche,Unknown,68.0,0.0900,0.0900,0,1.140,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-18,2026-05-18T19:00:00Z,England - Premier League,epl,Arsenal FC,Burnley FC,Bet365,Luis Florentino,0.062833,15.915,21.000,0.047619,1.52,31.95,no_edge,low,,arsenal,Unknown,68.0,0.0900,0.0900,0,0.954,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,OGC Nice,FC Metz,Bet365,Moustapha Diop,0.077307,12.935,16.000,0.062500,1.48,23.69,no_edge,low,,nice,Unknown,68.0,0.0900,0.0900,0,1.183,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,OGC Nice,FC Metz,Bet365,Urie-Michel Mboula,0.077307,12.935,16.000,0.062500,1.48,23.69,no_edge,low,,nice,Unknown,68.0,0.0900,0.0900,0,1.183,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:24:56Z,2026-05-17,2026-05-17T18:45:00Z,Italy - Serie A,serie-a,Cagliari Calcio,Torino FC,Bet365,Gvidas Gineitis,0.125123,7.992,9.000,0.111111,1.40,12.61,no_edge,high,torino,cagliari,MC,83.0,0.0582,0.1181,2346,1.310,0.0163,30.0,40.0,31.25,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Strasbourg Alsace,AS Monaco,Bet365,Lamine Camara,0.235875,4.240,4.500,0.222222,1.37,6.14,no_edge,high,monaco,strasbourg,MC,81.1,0.2324,0.1999,3011,1.321,0.0174,32.14,44.44,34.21,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Lille OSC,AJ Auxerre,Bet365,Romain Faivre,0.122921,8.135,9.000,0.111111,1.18,10.63,no_edge,low,auxerre,lille,AMR,71.9,0.2292,0.1719,592,0.826,0.0045,15.79,0.0,15.79,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-19,2026-05-19T18:30:00Z,England - Premier League,epl,AFC Bournemouth,Manchester City,Bet365,Erling Haaland,0.177777,5.625,6.000,0.166667,1.11,6.67,no_edge,high,manchester city,bournemouth,FW,90.0,0.1938,0.1389,3420,1.238,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T13:25:00Z,2026-05-17,2026-05-17T14:00:00Z,England - Premier League,epl,Everton FC,Sunderland AFC,Bet365,Luke O'Nien,0.069796,14.328,17.000,0.058824,1.10,18.65,no_edge,low,sunderland,everton,Unknown,68.0,0.0900,0.0900,0,1.064,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Real Oviedo,Deportivo Alaves,Bet365,Thiago Fernandez,0.153244,6.526,7.000,0.142857,1.04,7.27,no_edge,low,real oviedo,deportivo alaves,Sub,68.5,0.2483,0.1910,876,1.011,0.0040,11.76,7.69,10.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,FC Lorient,Le Havre AC,Bet365,Bamo Meite,0.092783,10.778,12.000,0.083333,0.95,11.34,no_edge,low,lorient,le havre,Sub,83.5,0.1225,0.0672,1965,1.212,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Real Oviedo,Deportivo Alaves,Bet365,Marco Esteban,0.075942,13.168,15.000,0.066667,0.93,13.91,no_edge,low,,real oviedo,Unknown,68.0,0.0900,0.0900,0,1.161,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:24:56Z,2026-05-17,2026-05-17T18:45:00Z,Italy - Serie A,serie-a,Udinese Calcio,US Cremonese,Bet365,Thomas Kristensen,0.071709,13.945,16.000,0.062500,0.92,14.74,no_edge,low,,udinese,Unknown,68.0,0.0900,0.0900,0,1.094,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Athletic Bilbao,RC Celta de Vigo,Bet365,Carl Starfelt,0.067870,14.734,17.000,0.058824,0.90,15.38,no_edge,low,,athletic club,Unknown,68.0,0.0900,0.0900,0,1.034,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Levante UD,RCD Mallorca,Bet365,Antonio Raillo,0.067418,14.833,17.000,0.058824,0.86,14.61,no_edge,low,,levante,Unknown,68.0,0.0900,0.0900,0,1.026,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Elche CF,Getafe CF,Bet365,Martin Satriano,0.126186,7.925,8.500,0.117647,0.85,7.26,no_edge,low,getafe,elche,FW,90.0,0.0856,0.1408,1519,1.110,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Marseille,Stade Rennais FC,Bet365,Ludovic Blas,0.230483,4.339,4.500,0.222222,0.83,3.72,no_edge,high,rennes,marseille,ML,72.1,0.2200,0.3070,2087,1.169,0.0028,10.53,0.0,8.89,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T14:45:03Z,2026-05-17,2026-05-17T16:00:00Z,Italy - Serie A,serie-a,Atalanta BC,Bologna FC,Bet365,Torbjorn Heggem,0.066905,14.947,17.000,0.058824,0.81,13.74,no_edge,low,,atalanta,Unknown,68.0,0.0900,0.0900,0,1.018,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Levante UD,RCD Mallorca,Bet365,Alan Matturro,0.074696,13.388,15.000,0.066667,0.80,12.04,no_edge,low,levante,mallorca,Sub,52.5,0.0941,0.1039,918,1.325,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-19,2026-05-19T18:30:00Z,England - Premier League,epl,AFC Bournemouth,Manchester City,Bet365,Rodri,0.161493,6.192,6.500,0.153846,0.76,4.97,no_edge,low,manchester city,bournemouth,DMC,87.8,0.1699,0.1330,3178,1.238,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Lille OSC,AJ Auxerre,Bet365,Kevin Danois,0.124616,8.025,8.500,0.117647,0.70,5.92,no_edge,high,auxerre,lille,AMC,89.9,0.0596,0.1654,3329,0.826,0.0272,78.95,0.0,78.95,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T14:45:05Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,CA Osasuna,Espanyol Barcelona,Bet365,Miguel Rubio,0.065825,15.192,17.000,0.058824,0.70,11.90,no_edge,low,,osasuna,Unknown,68.0,0.0900,0.0900,0,1.001,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Real Sociedad San Sebastian,Valencia CF,Bet365,Duje Caleta-Car,0.065740,15.212,17.000,0.058824,0.69,11.76,no_edge,low,,real sociedad san sebastian,Unknown,68.0,0.0900,0.0900,0,1.000,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T13:25:00Z,2026-05-17,2026-05-17T14:00:00Z,England - Premier League,epl,Everton FC,Sunderland AFC,Bet365,Reinildo Mandava,0.073232,13.655,15.000,0.066667,0.66,9.85,no_edge,low,,everton,Unknown,68.0,0.0900,0.0900,0,1.118,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-18,2026-05-18T19:00:00Z,England - Premier League,epl,Arsenal FC,Burnley FC,Bet365,Quilindschy Hartman,0.106318,9.406,10.000,0.100000,0.63,6.32,no_edge,high,burnley,arsenal,DL,84.6,0.1887,0.1162,1843,0.845,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Rayo Vallecano,Villarreal CF,Bet365,Nicolas Pepe,0.205939,4.856,5.000,0.200000,0.59,2.97,no_edge,high,villarreal,rayo vallecano,MR,65.5,0.2085,0.2499,2683,1.334,0.0020,8.33,0.0,6.45,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Levante UD,RCD Mallorca,Bet365,Jeremy Toljan,0.148651,6.727,7.000,0.142857,0.58,4.06,no_edge,high,levante,mallorca,DR,90.0,0.1072,0.1292,3087,1.325,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Strasbourg Alsace,AS Monaco,Bet365,Diego Moreira,0.227956,4.387,4.500,0.222222,0.57,2.58,no_edge,high,strasbourg,monaco,AMR,70.4,0.2204,0.2849,3101,1.230,0.0063,5.56,33.33,9.09,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:24:56Z,2026-05-17,2026-05-17T18:45:00Z,Italy - Serie A,serie-a,Udinese Calcio,US Cremonese,Bet365,Oumar Solet,0.052143,19.178,21.000,0.047619,0.45,9.50,no_edge,high,udinese,cremonese,DC,79.9,0.0490,0.0659,3412,1.006,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:24:56Z,2026-05-17,2026-05-17T18:45:00Z,Italy - Serie A,serie-a,Cagliari Calcio,Torino FC,Bet365,Ardian Ismajli,0.041574,24.053,26.000,0.038462,0.31,8.09,no_edge,low,torino,cagliari,DC,83.9,0.0447,0.0294,1817,1.310,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Athletic Bilbao,RC Celta de Vigo,Bet365,Carlos Dominguez,0.067870,14.734,15.000,0.066667,0.12,1.80,no_edge,low,,athletic club,Unknown,68.0,0.0900,0.0900,0,1.034,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,OGC Nice,FC Metz,Bet365,Bouna Sarr,0.063459,15.758,16.000,0.062500,0.10,1.53,no_edge,low,metz,nice,DR,81.4,0.0395,0.0768,808,1.137,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,FC Lorient,Le Havre AC,Bet365,Fode Doucoure,0.118474,8.441,8.500,0.117647,0.08,0.70,no_edge,medium,le havre,lorient,AMR,62.8,0.1204,0.1831,1193,1.122,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Marseille,Stade Rennais FC,Bet365,Valentin Rongier,0.143320,6.977,7.000,0.142857,0.05,0.32,no_edge,high,rennes,marseille,DMC,90.0,0.1441,0.1259,2660,1.169,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:05Z,2026-05-17,2026-05-17T16:30:00Z,England - Premier League,epl,Newcastle United,West Ham United,Bet365,Alex Murphy,0.077307,12.935,13.000,0.076923,0.04,0.50,no_edge,low,,newcastle united,Unknown,68.0,0.0900,0.0900,0,1.183,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-19,2026-05-19T19:15:00Z,England - Premier League,epl,Chelsea FC,Tottenham Hotspur,Bet365,Benoit Badiashile,0.067072,14.909,15.000,0.066667,0.04,0.61,no_edge,low,,chelsea,Unknown,68.0,0.0900,0.0900,0,1.021,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Atletico Madrid,Girona FC,Bet365,Jose Maria Gimenez,0.077307,12.935,13.000,0.076923,0.04,0.50,no_edge,low,,atletico madrid,Unknown,68.0,0.0900,0.0900,0,1.183,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Stade Brest 29,Angers SCO,Bet365,Mael Gernigon,0.077307,12.935,13.000,0.076923,0.04,0.50,no_edge,low,,brest,Unknown,68.0,0.0900,0.0900,0,1.183,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-18,2026-05-18T19:00:00Z,England - Premier League,epl,Arsenal FC,Burnley FC,Bet365,Ashley Barnes,0.062833,15.915,16.000,0.062500,0.03,0.53,no_edge,low,,arsenal,Unknown,68.0,0.0900,0.0900,0,0.954,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Stade Brest 29,Angers SCO,Bet365,Branco van den Boomen,0.142956,6.995,7.000,0.142857,0.01,0.07,no_edge,medium,angers,brest,MC,88.6,0.0916,0.1305,1164,1.045,0.0340,78.57,50.0,70.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T14:45:05Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,CA Osasuna,Espanyol Barcelona,Bet365,Jon Moncayola,0.153882,6.498,6.500,0.153846,0.00,0.02,no_edge,high,osasuna,espanyol barcelona,DMC,89.0,0.1032,0.1554,3197,1.133,0.0134,26.09,27.27,26.47,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Lille OSC,AJ Auxerre,Bet365,Lassine Sinayoko,0.142866,7.000,7.000,0.142857,0.00,0.01,no_edge,high,auxerre,lille,AMR,88.6,0.2051,0.1812,3400,0.826,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-19,2026-05-19T19:15:00Z,England - Premier League,epl,Chelsea FC,Tottenham Hotspur,Bet365,Enzo Fernandez,0.199917,5.002,5.000,0.200000,-0.01,-0.04,no_edge,high,chelsea,tottenham,AMC,89.8,0.1388,0.2232,3508,1.009,0.0282,42.11,80.0,48.0,matched,private_shadow_v0_not_public
