compared_at,captured_at,match_date,kickoff,bookmaker,competition,home_team,away_team,is_home,player_id,player_name,canonical_player_name,player_team,opponent,position,position_group,odds_decimal,implied_prob,model_p_atgs,model_fair_odds_atgs,model_lambda,team_expected_npxg,team_share,non_pen_lambda,base_non_pen_lambda,penalty_lambda,base_model_lambda,role_adjustment_factor,role_adjustment_reason,penalty_dependency_share,penalty_dependent,penalty_share,baseline_penalty_share,baseline_penalty_sample,baseline_penalty_source,career_player_penalties,career_team_penalties,career_penalty_share,penalty_evidence_share,penalty_evidence_sample,penalty_evidence_source,penalty_evidence_note,is_penalty_taker,penalty_role,penalty_share_prior,penalty_share_prior_weight,penalty_hierarchy_boost_xg,penalty_transfer,penalty_transfer_from,penalty_transfer_level,lineup_state,lineup_status,lineup_source,lineup_input,lineup_match_name,trust_tier,fixture_corruption_score,fixture_corruption_flags,minutes_estimate,usual_position,usual_position_score,usual_position_share_10,usual_position_matches_10,today_position_group,today_position_score,today_formation,position_change_score,position_upgrade,expected_minutes,recent_matches_8,recent_npxg_8,recent_np_goals_8,recent_npxg_per90_8,finishing_luck_8,last_fixture_avg_xga_3,next_opponent_xga,fixture_swing_3,attack_factor,opp_factor,ev,edge_pct,method,resolver_source,historical_minutes,signal_confidence,legacy_public_action,public_action,public_policy_reason,recommended_stake_units,recommended_stake_band,recommended_stake_label,shadow_action,confidence_reason,team_lineup_status,source,notes
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,1,3334,Lassana Coulibaly,Lassana Coulibaly,Lecce,AS Roma,MC,MC,13.0,0.076923,0.142881,6.9988,0.1542,1.0305,0.1496,0.1542,0.1542,0.0,0.1542,1.0,,0.0,0,0.0,0.0,0.74,recent_long,0.0,7.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Lassana Coulibaly,T2,0.0,,83.4,AMC,4,0.7778,9,MID,3,4-3-3,-1,0,83.4,8,1.0252,0.0,0.1282,-1.0252,1.5022,0.8813,0.5867,0.9857,0.8,0.857459,85.746,model,history,7581.0,medium,surface_with_caveat,no_action,,0.0,,,shadow_track,"history_resolver,expected_xi,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,1,12362,Santiago Pierotti,Santiago Pierotti,Lecce,AS Roma,FWR,FWR,6.0,0.166667,0.238025,4.2012,0.2718,1.0305,0.229,0.236,0.236,0.0358,0.2718,1.0,,0.1318,0,0.7013,0.0,0.66,recent_long,0.0,6.0,0.0,0.0,0.0,,,1,secondary,0.74,12.0,0.0358,1,Nikola Štulić,secondary,expected_starter,expected_starter,fotmob_expected,expected_xi,Santiago Pierotti,T2,0.0,,83.8,AMR,4,0.9,10,FW,5,4-3-3,1,0,83.8,8,1.2841,0.0,0.1658,-1.2841,1.5022,0.8813,0.5867,0.9857,0.8,0.42815,42.815,model,history,4889.0,medium,surface_with_caveat,no_action,,0.0,,,shadow_track,"history_resolver,expected_xi,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,1,7628,Lameck Banda,Lameck Banda,Lecce,AS Roma,AML,AML,6.0,0.166667,0.180972,5.5257,0.1996,1.0305,0.1937,0.1996,0.1996,0.0,0.1996,1.0,,0.0,0,0.0,0.0,0.85,recent_long,0.0,7.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,unknown,unknown,fotmob_expected,expected_xi,,T2,0.0,,64.7,AML,4,1.0,9,,,,,0,64.7,8,1.7218,2.0,0.2828,0.2782,1.2909,0.8813,0.6827,0.9857,0.8,0.085831,8.583,model,history,3741.0,medium,surface_with_caveat,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,0,9749,Donyell Malen,Donyell Malen,Roma,US Lecce,FW,FW,1.833,0.545554,0.536204,1.865,0.7683,1.9607,0.3234,0.634,0.634,0.1343,0.7683,1.0,,0.1748,0,0.8198,0.966,3.28,recent_long,4.0,5.0,0.8,0.0,0.0,,,1,primary,0.74,6.0,0.0258,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Donyell Malen,T2,0.0,,84.5,FW,5,1.0,10,FW,5,3-4-2-1,0,0,84.5,8,5.9851,6.0,0.7864,0.0149,1.402,1.8871,1.346,1.4,1.25,-0.017138,-1.714,model,history,1499.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,expected_xi,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,0,7049,Evan N'Dicka,Evan N'Dicka,Roma,US Lecce,DC,DC,9.0,0.111111,0.105002,9.5236,0.1109,1.9607,0.0566,0.1109,0.1109,0.0,0.1109,1.0,,0.0,0,0.0,0.0,2.42,recent_long,0.0,20.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Evan N'Dicka,T2,0.0,,85.2,DC,1,1.0,10,DEF,1,3-4-2-1,0,0,85.2,8,0.6398,0.0,0.0865,-0.6398,1.4074,1.8871,1.3408,1.4,1.25,-0.054982,-5.498,model,history,8383.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,expected_xi,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,0,6159,Gianluca Mancini,Gianluca Mancini,Roma,US Lecce,DC,DC,8.5,0.117647,0.104175,9.5993,0.11,1.9607,0.0561,0.11,0.11,0.0,0.11,1.0,,0.0,0,0.0,0.0,3.65,recent_long,0.0,27.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Gianluca Mancini,T2,0.0,,81.3,DC,1,1.0,10,DEF,1,3-4-2-1,0,0,81.3,8,1.4375,4.0,0.2054,2.5625,1.36,1.8871,1.3876,1.4,1.25,-0.114516,-11.452,model,history,9210.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,expected_xi,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,0,6136,Mario Hermoso,Mario Hermoso,Roma,US Lecce,DC,DC,9.0,0.111111,0.096923,10.3175,0.1019,1.9607,0.052,0.1019,0.1019,0.0,0.1019,1.0,,0.0,0,0.0,0.0,3.22,recent_long,0.0,6.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Mario Hermoso,T2,0.0,,78.9,DC,1,1.0,10,DEF,1,3-4-2-1,0,0,78.9,8,1.3518,2.0,0.1886,0.6482,1.402,1.8871,1.346,1.4,1.25,-0.127692,-12.769,model,history,2334.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,expected_xi,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,0,1294,Paulo Dybala,Paulo Dybala,Roma,US Lecce,AMC,AMC,2.625,0.380952,0.22613,4.4222,0.2564,1.9607,0.1189,0.2331,0.2331,0.0233,0.2564,1.0,,0.0907,0,0.1538,0.1538,4.07,recent_long,11.0,20.0,0.55,0.0,0.0,,,1,secondary,0.0,0.0,0.0063,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Paulo Dybala,T2,0.0,,78.0,AMC,4,0.75,8,AM,4,3-4-2-1,0,0,78.0,8,1.9807,1.0,0.332,-0.9807,1.402,1.8871,1.346,1.4,1.25,-0.406409,-40.641,model,history,4802.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,expected_xi,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,1,12885,Kialonda Gaspar,Kialonda Gaspar,Lecce,AS Roma,DC,DC,15.0,0.066667,0.036883,27.1127,0.0376,1.0305,0.0365,0.0376,0.0376,0.0,0.0376,1.0,,0.0,0,0.0,0.0,0.53,recent_long,0.0,2.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Kialonda Gaspar,T2,0.0,,78.0,DC,1,1.0,8,DEF,1,4-3-3,0,0,78.0,8,0.0,0.0,0.0,0.0,1.2241,0.8813,0.72,0.9857,0.8,-0.446754,-44.676,model,history,4065.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,expected_xi,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,1,13969,Nikola Stulic,Nikola Stulic,Lecce,AS Roma,Sub,Sub,4.75,0.210526,0.107182,9.3299,0.1134,1.0305,0.0893,0.0921,0.0921,0.0213,0.1134,1.0,,0.188,0,0.9258,0.9258,0.81,recent_long,1.0,2.0,0.5,0.0,0.0,,,1,primary,0.0,0.0,0.0138,0,,,unknown,unknown,fotmob_expected,expected_xi,,T2,0.0,,37.7,FW,5,1.0,5,,,,,0,37.7,8,1.4473,1.0,0.4342,-0.4473,1.3964,0.8813,0.6311,0.9857,0.8,-0.490884,-49.088,model,history,1713.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
2026-08-30T18:37:40Z,2026-08-30T18:37:30Z,2026-08-31,,Bet365,Italy - Serie A,US Lecce,AS Roma,1,13875,Jamil Siebert,Jamil Siebert,Lecce,AS Roma,DC,DC,19.0,0.052632,0.022571,44.3054,0.0228,1.0305,0.0222,0.0228,0.0228,0.0,0.0228,1.0,,0.0,0,0.0,0.0,0.51,recent_long,0.0,1.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Jamil Siebert,T2,0.0,,83.0,DC,1,1.0,10,DEF,1,4-3-3,0,0,83.0,8,0.0,0.0,0.0,0.0,1.5022,0.8813,0.5867,0.9857,0.8,-0.571158,-57.116,model,history,1791.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,expected_xi,fixture_t2",FotMob Expected XI,odds_api_io,event_id=71945216;market=Anytime Goalscorer
