league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
bundesliga,2016-2017,20/12/16,Dortmund,Augsburg,1,1,23,8,8,3,6,2,10,19,1,2,0,0,D,0,1,A,1.3,5.5,10,1.3,5.5,10,1.27,5.8,10.5
bundesliga,2016-2017,20/12/16,Ein Frankfurt,Mainz,3,0,9,11,4,6,6,6,14,9,3,0,0,1,H,1,0,H,2,3.4,3.9,2.05,3.4,3.7,2.1,3.4,3.5
bundesliga,2016-2017,20/12/16,Hamburg,Schalke 04,2,1,11,6,7,3,4,5,13,11,2,4,0,0,H,0,0,D,3.3,3.25,2.3,3.1,3.4,2.3,2.95,3.3,2.4
bundesliga,2016-2017,20/12/16,M'gladbach,Wolfsburg,1,2,20,18,4,7,5,6,18,18,1,2,0,0,A,0,1,A,1.95,3.5,4,1.95,3.5,3.9,1.8,3.6,4.5
bundesliga,2016-2017,21/12/16,Bayern Munich,RB Leipzig,3,0,24,5,11,2,9,4,13,13,1,1,0,1,H,3,0,H,1.36,5.25,8,1.42,5,7,1.55,4,6.2
bundesliga,2016-2017,21/12/16,FC Koln,Leverkusen,1,1,11,18,2,6,4,5,7,16,0,0,0,0,D,1,1,D,2.75,3.3,2.6,2.85,3.3,2.5,2.65,3.3,2.65
bundesliga,2016-2017,21/12/16,Hertha,Darmstadt,2,0,15,5,5,0,6,4,13,15,1,3,0,0,H,0,0,D,1.57,3.9,6.25,1.57,3.9,6.25,1.55,4,6.2
bundesliga,2016-2017,21/12/16,Hoffenheim,Werder Bremen,1,1,12,10,3,3,5,9,11,19,2,2,0,0,D,1,0,H,1.62,4,5.5,1.65,4,5.25,1.7,3.7,5
bundesliga,2016-2017,21/12/16,Ingolstadt,Freiburg,1,2,17,11,6,5,6,3,17,12,4,2,0,0,A,0,2,A,2.1,3.3,3.75,2.1,3.4,3.6,2.2,3.35,3.3
bundesliga,2016-2017,20/01/17,Freiburg,Bayern Munich,1,2,11,13,3,5,1,11,8,7,2,2,0,0,A,1,1,D,13,6.5,1.22,13,6.5,1.22,9.5,5.5,1.3
bundesliga,2016-2017,21/01/17,Augsburg,Hoffenheim,0,2,9,13,2,3,4,4,18,14,2,4,0,0,A,0,0,D,2.8,3.3,2.6,2.75,3.3,2.6,2.65,3.15,2.75
bundesliga,2016-2017,21/01/17,Darmstadt,M'gladbach,0,0,8,14,2,4,4,6,12,16,1,1,0,0,D,0,0,D,4,3.6,1.91,4.25,3.5,1.9,4.1,3.5,1.9
bundesliga,2016-2017,21/01/17,RB Leipzig,Ein Frankfurt,3,0,17,4,7,3,3,3,8,15,1,2,0,1,H,2,0,H,1.62,3.8,6,1.65,3.75,5.5,1.75,3.6,4.8
bundesliga,2016-2017,21/01/17,Schalke 04,Ingolstadt,1,0,15,14,5,3,7,3,11,16,1,0,0,0,H,0,0,D,1.8,3.6,4.75,1.8,3.6,4.6,1.75,3.6,4.8
bundesliga,2016-2017,21/01/17,Werder Bremen,Dortmund,1,2,9,22,5,8,3,5,16,12,3,1,1,0,A,0,1,A,6,4.33,1.53,5.75,4.75,1.5,5.7,3.9,1.6
bundesliga,2016-2017,21/01/17,Wolfsburg,Hamburg,1,0,11,11,3,1,5,3,15,23,2,1,0,1,H,0,0,D,1.85,3.6,4.33,1.9,3.5,4.25,2,3.4,3.8
bundesliga,2016-2017,22/01/17,Leverkusen,Hertha,3,1,16,7,9,3,7,3,14,15,0,2,0,0,H,2,1,H,1.67,3.7,5.5,1.7,3.75,5.25,1.75,3.6,4.8
bundesliga,2016-2017,22/01/17,Mainz,FC Koln,0,0,12,9,5,3,5,5,12,10,1,1,0,0,D,0,0,D,2.4,3.3,3,2.5,3.3,2.9,2.5,3.3,2.85
bundesliga,2016-2017,27/01/17,Schalke 04,Ein Frankfurt,0,1,12,8,2,1,3,2,18,17,2,1,0,0,A,0,1,A,1.73,3.6,5.25,1.75,3.6,5,1.85,3.5,4.3
bundesliga,2016-2017,28/01/17,Darmstadt,FC Koln,1,6,10,14,4,7,3,4,24,20,2,4,0,0,A,0,3,A,3.6,3.3,2.15,3.75,3.3,2.1,3.6,3.3,2.1
bundesliga,2016-2017,28/01/17,Ingolstadt,Hamburg,3,1,15,11,7,3,1,6,13,18,0,2,0,0,H,2,0,H,2.2,3.2,3.6,2.15,3.25,3.6,2.2,3.35,3.3
bundesliga,2016-2017,28/01/17,Leverkusen,M'gladbach,2,3,13,12,4,7,9,5,12,8,0,0,0,0,A,2,0,H,1.85,3.6,4.33,1.83,3.7,4.33,1.8,3.6,4.5
bundesliga,2016-2017,28/01/17,RB Leipzig,Hoffenheim,2,1,14,5,5,2,7,4,17,16,3,3,0,1,H,1,1,D,1.73,3.75,4.8,1.72,3.7,5,1.8,3.5,4.7
bundesliga,2016-2017,28/01/17,Werder Bremen,Bayern Munich,1,2,11,13,4,4,2,7,17,16,4,1,0,0,A,0,2,A,15,6.5,1.2,15.5,7.25,1.18,12,6.5,1.22
bundesliga,2016-2017,28/01/17,Wolfsburg,Augsburg,1,2,11,12,5,5,5,6,13,17,2,2,0,0,A,1,1,D,1.95,3.5,4,1.95,3.5,3.9,1.85,3.5,4.3
bundesliga,2016-2017,29/01/17,Freiburg,Hertha,2,1,11,11,4,2,6,4,11,8,0,2,0,0,H,1,0,H,2.5,3.25,2.9,2.45,3.4,2.9,2.6,3.2,2.8
bundesliga,2016-2017,29/01/17,Mainz,Dortmund,1,1,9,13,1,4,2,4,13,13,2,1,0,0,D,0,1,A,5.25,4.2,1.62,5.25,4.1,1.62,5,4,1.65
bundesliga,2016-2017,03/02/17,Hamburg,Leverkusen,1,0,11,5,3,0,4,3,13,23,0,3,0,0,H,0,0,D,3.1,3.3,2.35,3.1,3.4,2.3,2.95,3.3,2.4
bundesliga,2016-2017,04/02/17,Bayern Munich,Schalke 04,1,1,12,7,4,3,8,3,14,15,1,1,0,0,D,1,1,D,1.2,7.5,13,1.2,6.75,14.5,1.25,6,11
bundesliga,2016-2017,04/02/17,Dortmund,RB Leipzig,1,0,14,2,4,1,5,2,15,17,1,3,0,0,H,1,0,H,1.67,3.8,5.25,1.7,4,4.75,1.8,3.7,4.3
bundesliga,2016-2017,04/02/17,FC Koln,Wolfsburg,1,0,12,12,2,2,6,6,14,21,4,3,0,0,H,0,0,D,2.05,3.4,3.75,2.05,3.4,3.7,2.3,3.3,3.15
bundesliga,2016-2017,04/02/17,Hertha,Ingolstadt,1,0,8,13,2,4,1,3,15,20,2,2,0,0,H,1,0,H,2.15,3.1,3.8,2.05,3.2,4,2.1,3.4,3.5
bundesliga,2016-2017,04/02/17,Hoffenheim,Mainz,4,0,22,13,7,2,3,6,14,13,2,2,0,0,H,1,0,H,1.8,3.8,4.33,1.85,3.6,4.33,1.9,3.5,4.1
bundesliga,2016-2017,04/02/17,M'gladbach,Freiburg,3,0,11,14,3,4,3,8,9,10,1,1,0,0,H,0,0,D,1.73,3.8,4.75,1.75,3.8,4.6,1.75,3.6,4.8
bundesliga,2016-2017,05/02/17,Augsburg,Werder Bremen,3,2,15,19,7,4,2,4,13,12,3,2,0,0,H,1,1,D,2.1,3.5,3.5,2.15,3.4,3.4,2.1,3.4,3.5
bundesliga,2016-2017,05/02/17,Ein Frankfurt,Darmstadt,2,0,15,4,6,0,8,2,7,16,2,4,0,0,H,0,0,D,1.55,3.8,7,1.57,4,6.25,1.55,4,6.2
bundesliga,2016-2017,10/02/17,Mainz,Augsburg,2,0,8,10,4,6,6,2,10,15,1,3,0,0,H,1,0,H,2.1,3.25,3.8,2.1,3.25,3.8,2.1,3.4,3.5
bundesliga,2016-2017,11/02/17,Darmstadt,Dortmund,2,1,15,14,7,4,0,12,10,20,2,2,0,0,H,1,1,D,9,5,1.36,7.25,5,1.4,7.5,4.8,1.4
bundesliga,2016-2017,11/02/17,Ingolstadt,Bayern Munich,0,2,8,17,0,5,2,4,15,14,2,1,0,0,A,0,0,D,8.5,5,1.36,8.5,5.5,1.33,8.7,5.3,1.33
bundesliga,2016-2017,11/02/17,Leverkusen,Ein Frankfurt,3,0,17,9,7,3,7,6,10,10,2,1,0,0,H,1,0,H,1.91,3.5,4.2,1.87,3.5,4.33,1.8,3.7,4.3
bundesliga,2016-2017,11/02/17,RB Leipzig,Hamburg,0,3,15,11,0,5,3,6,10,17,2,2,0,0,A,0,2,A,1.5,4.2,7,1.48,4.4,6.75,1.55,4,6.2
bundesliga,2016-2017,11/02/17,Schalke 04,Hertha,2,0,14,5,3,2,2,2,20,17,1,2,0,0,H,1,0,H,1.85,3.5,4.5,1.85,3.5,4.5,2,3.4,3.8
bundesliga,2016-2017,11/02/17,Werder Bremen,M'gladbach,0,1,16,12,6,3,9,3,16,17,2,2,0,0,A,0,1,A,2.88,3.5,2.4,2.85,3.5,2.4,2.85,3.3,2.5
bundesliga,2016-2017,12/02/17,Freiburg,FC Koln,2,1,12,12,6,5,7,1,17,15,1,1,0,0,H,1,1,D,2.7,3.1,2.8,2.65,3.25,2.75,2.6,3.3,2.7
bundesliga,2016-2017,12/02/17,Wolfsburg,Hoffenheim,2,1,13,14,7,7,4,5,16,18,3,2,0,0,H,0,1,A,2.5,3.4,2.8,2.5,3.3,2.85,2.3,3.3,3.15
bundesliga,2016-2017,17/02/17,Augsburg,Leverkusen,1,3,12,20,4,10,2,4,12,14,3,1,0,0,A,0,2,A,3.25,3.25,2.25,2.95,3.4,2.3,2.95,3.3,2.4
bundesliga,2016-2017,18/02/17,Dortmund,Wolfsburg,3,0,24,6,10,3,9,2,17,15,2,1,0,0,H,1,0,H,1.44,4.5,7.5,1.4,4.6,7.25,1.45,4.4,7.2
bundesliga,2016-2017,18/02/17,Ein Frankfurt,Ingolstadt,0,2,15,14,6,11,4,5,16,12,4,0,1,1,A,0,1,A,2.05,3.1,4.2,2.1,3.1,3.75,2,3.4,3.8
bundesliga,2016-2017,18/02/17,Hamburg,Freiburg,2,2,6,12,4,3,7,5,15,9,3,2,0,0,D,1,1,D,2.05,3.4,3.75,2.05,3.4,3.5,2.1,3.4,3.5
bundesliga,2016-2017,18/02/17,Hertha,Bayern Munich,1,1,11,16,2,7,3,4,19,10,2,3,0,0,D,1,0,H,10,4.33,1.36,8,4.75,1.36,7.2,4.4,1.45
bundesliga,2016-2017,18/02/17,Hoffenheim,Darmstadt,2,0,14,7,5,4,4,2,12,19,3,4,0,0,H,0,0,D,1.45,4.5,7.5,1.45,4.5,6.25,1.55,4,6.2
bundesliga,2016-2017,18/02/17,Mainz,Werder Bremen,0,2,13,8,5,4,7,6,14,10,3,4,0,0,A,0,2,A,1.95,3.5,4,2,3.4,3.6,1.9,3.5,4.1
bundesliga,2016-2017,19/02/17,FC Koln,Schalke 04,1,1,9,12,4,4,5,0,12,14,2,3,0,0,D,1,1,D,2.5,3.1,3.1,2.45,3.25,2.8,2.5,3.3,2.85
bundesliga,2016-2017,19/02/17,M'gladbach,RB Leipzig,1,2,12,9,3,5,8,3,18,17,4,3,0,0,A,0,1,A,2.6,3.2,2.8,2.45,3.3,2.75,2.4,3.3,2.95
bundesliga,2016-2017,24/02/17,Wolfsburg,Werder Bremen,1,2,27,7,6,3,13,1,13,15,1,3,0,0,A,1,2,A,1.91,3.5,4.2,1.91,3.75,4.1,2,3.4,3.8
bundesliga,2016-2017,25/02/17,Bayern Munich,Hamburg,8,0,18,5,12,1,4,4,16,11,0,1,0,0,H,3,0,H,1.14,8.5,19,1.16,8,16.5,1.17,7.5,15
bundesliga,2016-2017,25/02/17,Darmstadt,Augsburg,1,2,5,18,2,3,1,1,17,16,1,0,0,0,A,0,0,D,2.8,3.25,2.6,2.85,3.1,2.65,2.7,3.2,2.7
bundesliga,2016-2017,25/02/17,Freiburg,Dortmund,0,3,7,27,3,10,5,3,8,10,1,0,0,0,A,0,1,A,5.75,4.2,1.57,5.75,4.2,1.57,5.5,4,1.6
bundesliga,2016-2017,25/02/17,Hertha,Ein Frankfurt,2,0,6,8,4,2,3,6,11,16,2,2,0,1,H,0,0,D,2.05,3.2,4,2.1,3.25,3.7,2,3.4,3.8
bundesliga,2016-2017,25/02/17,Leverkusen,Mainz,0,2,12,11,3,5,9,8,20,17,1,3,0,0,A,0,2,A,1.73,3.8,4.75,1.72,3.75,5,1.7,3.9,4.7
bundesliga,2016-2017,25/02/17,RB Leipzig,FC Koln,3,1,13,5,5,1,3,0,15,10,1,4,0,0,H,2,0,H,1.67,3.75,5.5,1.67,3.8,5.25,1.7,3.7,5
bundesliga,2016-2017,26/02/17,Ingolstadt,M'gladbach,0,2,14,10,3,4,6,4,11,14,2,0,0,0,A,0,0,D,2.7,3.1,2.8,2.7,3.2,2.75,2.6,3.25,2.75
bundesliga,2016-2017,26/02/17,Schalke 04,Hoffenheim,1,1,7,14,2,4,6,3,20,13,0,2,0,0,D,1,0,H,2.05,3.4,3.8,2.05,3.5,3.6,2,3.4,3.8
bundesliga,2016-2017,03/03/17,Augsburg,RB Leipzig,2,2,7,12,2,5,1,6,15,15,4,2,0,0,D,1,1,D,4.2,3.5,1.91,4.25,3.5,1.9,4.1,3.5,1.9
bundesliga,2016-2017,04/03/17,Dortmund,Leverkusen,6,2,20,12,12,3,7,3,8,20,0,6,0,0,H,2,0,H,1.5,4.33,6.5,1.45,4.5,7,1.6,4,5.5
bundesliga,2016-2017,04/03/17,FC Koln,Bayern Munich,0,3,6,20,2,8,2,9,11,9,0,2,0,0,A,0,1,A,8.5,4.75,1.4,8.25,4.6,1.4,7.5,4.8,1.4
bundesliga,2016-2017,04/03/17,Hoffenheim,Ingolstadt,5,2,17,8,12,4,3,6,19,21,2,2,0,0,H,1,1,D,1.75,3.75,4.75,1.7,3.7,5.25,1.75,3.6,4.8
bundesliga,2016-2017,04/03/17,Mainz,Wolfsburg,1,1,10,7,2,5,4,6,15,12,0,0,0,0,D,1,1,D,2.25,3.4,3.2,2.25,3.4,3.25,2.1,3.4,3.5
bundesliga,2016-2017,04/03/17,M'gladbach,Schalke 04,4,2,19,7,7,2,3,2,6,16,0,4,0,0,H,1,1,D,2.3,3.3,3.2,2.25,3.3,3.3,2.25,3.35,3.2
bundesliga,2016-2017,04/03/17,Werder Bremen,Darmstadt,2,0,9,15,4,3,2,7,10,17,1,1,0,0,H,0,0,D,1.67,4,5,1.67,3.8,5.25,1.65,4,5
bundesliga,2016-2017,05/03/17,Ein Frankfurt,Freiburg,1,2,15,10,3,3,12,1,13,14,2,1,0,0,A,1,1,D,2.1,3.5,3.5,2.1,3.3,3.7,2.1,3.4,3.5
bundesliga,2016-2017,05/03/17,Hamburg,Hertha,1,0,9,8,3,1,5,2,14,11,1,2,0,0,H,0,0,D,2.45,3.2,3,2.55,3.1,3,2.6,3.25,2.75
bundesliga,2016-2017,10/03/17,Leverkusen,Werder Bremen,1,1,12,11,7,3,4,3,12,12,0,2,1,0,D,1,0,H,1.5,4.33,6.5,1.53,4.33,6,1.6,4,5.5
bundesliga,2016-2017,11/03/17,Bayern Munich,Ein Frankfurt,3,0,16,10,7,4,3,2,11,8,2,3,0,0,H,2,0,H,1.13,9,21,1.11,9,26,1.15,7.5,18
bundesliga,2016-2017,11/03/17,Darmstadt,Mainz,2,1,11,13,5,6,5,11,16,17,3,2,1,1,H,2,1,H,3.5,3.25,2.2,3.3,3.4,2.2,3.3,3.35,2.2
bundesliga,2016-2017,11/03/17,Freiburg,Hoffenheim,1,1,6,23,4,7,6,6,12,11,2,2,0,0,D,0,0,D,3,3.4,2.38,3,3.4,2.35,2.85,3.3,2.5
bundesliga,2016-2017,11/03/17,Hertha,Dortmund,2,1,16,18,4,2,4,8,7,15,2,4,0,0,H,1,0,H,5.25,4,1.65,5.25,3.9,1.65,5,4,1.65
bundesliga,2016-2017,11/03/17,Ingolstadt,FC Koln,2,2,26,7,9,2,11,0,13,24,4,3,0,0,D,1,1,D,2.5,3.1,3.1,2.55,3.2,2.9,2.6,3.3,2.7
bundesliga,2016-2017,11/03/17,RB Leipzig,Wolfsburg,0,1,11,15,6,5,7,3,16,17,3,4,0,0,A,0,1,A,1.62,3.8,6,1.6,4,5.75,1.6,4,5.5
bundesliga,2016-2017,12/03/17,Hamburg,M'gladbach,2,1,17,7,6,3,8,4,8,18,1,2,0,0,H,1,1,D,2.75,3.3,2.6,2.75,3.3,2.6,2.75,3.25,2.6
bundesliga,2016-2017,12/03/17,Schalke 04,Augsburg,3,0,25,9,7,3,7,4,20,10,3,0,0,0,H,3,0,H,1.75,3.5,5.25,1.75,3.6,5,1.8,3.6,4.5
bundesliga,2016-2017,17/03/17,Dortmund,Ingolstadt,1,0,10,14,2,2,4,2,12,23,1,3,0,0,H,1,0,H,1.3,5.5,10.5,1.3,5.25,10.5,1.3,5.5,9.5
bundesliga,2016-2017,18/03/17,Augsburg,Freiburg,1,1,15,7,3,3,3,1,16,21,2,2,0,0,D,1,1,D,2.4,3.3,3,2.45,3.3,2.95,2.3,3.3,3.15
bundesliga,2016-2017,18/03/17,Ein Frankfurt,Hamburg,0,0,7,5,1,0,4,7,19,24,1,1,0,0,D,0,0,D,2.2,3.2,3.5,2.3,3.3,3.2,2.2,3.35,3.3
bundesliga,2016-2017,18/03/17,FC Koln,Hertha,4,2,7,8,6,6,2,9,12,12,2,3,0,0,H,3,0,H,2.38,3.2,3.2,2.35,3.2,3.25,2.3,3.3,3.15
bundesliga,2016-2017,18/03/17,Hoffenheim,Leverkusen,1,0,13,16,4,7,2,7,12,14,1,1,0,0,H,0,0,D,2.15,3.6,3.3,2.15,3.6,3.3,2.1,3.4,3.5
bundesliga,2016-2017,18/03/17,Werder Bremen,RB Leipzig,3,0,9,7,4,2,4,5,11,18,2,1,0,0,H,1,0,H,3.5,3.6,2.05,3.7,3.4,2.05,3.4,3.5,2.1
bundesliga,2016-2017,18/03/17,Wolfsburg,Darmstadt,1,0,18,6,4,1,6,4,15,14,2,3,0,0,H,1,0,H,1.5,4,7.5,1.53,4.2,6.25,1.5,4.2,6.5
bundesliga,2016-2017,19/03/17,Mainz,Schalke 04,0,1,18,9,5,5,10,4,10,15,2,4,0,0,A,0,0,D,2.63,3.5,2.63,2.65,3.4,2.65,2.65,3.3,2.65
bundesliga,2016-2017,19/03/17,M'gladbach,Bayern Munich,0,1,14,18,1,6,5,4,5,11,0,2,0,0,A,0,0,D,8,4.75,1.4,7,5,1.42,7,4.5,1.45
bundesliga,2016-2017,31/03/17,Hertha,Hoffenheim,1,3,5,28,3,8,0,8,18,13,2,1,1,0,A,1,1,D,2.9,3.1,2.6,2.7,3.4,2.6,2.7,3.2,2.7
bundesliga,2016-2017,01/04/17,Bayern Munich,Augsburg,6,0,21,6,8,2,5,1,6,9,0,2,0,0,H,2,0,H,1.1,10,26,1.09,11,23,1.11,9,24
bundesliga,2016-2017,01/04/17,Ein Frankfurt,M'gladbach,0,0,15,6,4,1,10,1,13,12,4,2,0,1,D,0,0,D,2.5,3.3,2.9,2.65,3.3,2.7,2.7,3.3,2.6
bundesliga,2016-2017,01/04/17,Freiburg,Werder Bremen,2,5,13,11,4,7,5,5,9,14,2,1,0,0,A,0,2,A,2.25,3.5,3.2,2.3,3.4,3.1,2.4,3.3,2.95
bundesliga,2016-2017,01/04/17,Hamburg,FC Koln,2,1,14,7,4,1,5,1,19,13,2,3,0,0,H,1,1,D,2.38,3.2,3.2,2.35,3.3,3.1,2.5,3.3,2.85
bundesliga,2016-2017,01/04/17,RB Leipzig,Darmstadt,4,0,25,11,10,1,10,4,12,15,1,2,0,1,H,1,0,H,1.36,5,9,1.36,5.5,7.75,1.3,5.5,9.5
bundesliga,2016-2017,01/04/17,Schalke 04,Dortmund,1,1,9,7,3,2,9,4,13,17,1,2,0,0,D,0,0,D,3.75,3.6,2,3.75,3.7,1.95,3.4,3.5,2.1
bundesliga,2016-2017,02/04/17,Ingolstadt,Mainz,2,1,12,10,5,1,4,4,25,26,4,3,0,0,H,1,0,H,2.1,3.3,3.8,2.15,3.3,3.5,2.35,3.3,3.05
bundesliga,2016-2017,02/04/17,Leverkusen,Wolfsburg,3,3,8,18,5,9,2,10,18,14,1,2,0,0,D,1,0,H,1.8,3.75,4.5,1.83,3.7,4.33,1.8,3.7,4.3
bundesliga,2016-2017,04/04/17,Dortmund,Hamburg,3,0,17,16,10,6,6,4,6,12,1,3,0,0,H,1,0,H,1.29,5.75,10,1.3,5.75,9,1.3,5.5,9.5
bundesliga,2016-2017,04/04/17,FC Koln,Ein Frankfurt,1,0,5,11,1,2,0,5,11,20,0,2,0,0,H,0,0,D,2.35,3.2,3.2,2.35,3.1,3.3,2.2,3.35,3.3
bundesliga,2016-2017,04/04/17,Hoffenheim,Bayern Munich,1,0,14,21,4,6,7,9,17,12,0,1,0,0,H,1,0,H,6,4.6,1.5,6,4.6,1.5,5.7,3.9,1.6
bundesliga,2016-2017,04/04/17,Werder Bremen,Schalke 04,3,0,11,14,6,3,4,3,9,19,0,2,0,0,H,1,0,H,3,3.5,2.3,3.1,3.5,2.25,2.85,3.3,2.5
bundesliga,2016-2017,05/04/17,Augsburg,Ingolstadt,2,3,13,13,5,6,3,5,16,13,3,2,0,0,A,0,2,A,2.7,3.1,2.8,2.6,3.1,2.9,2.5,3.3,2.85
bundesliga,2016-2017,05/04/17,Darmstadt,Leverkusen,0,2,13,14,2,7,3,8,11,13,0,2,0,0,A,0,1,A,5,3.8,1.7,5,4,1.67,5,4,1.65
bundesliga,2016-2017,05/04/17,Mainz,RB Leipzig,2,3,18,15,3,7,8,3,16,20,6,4,1,0,A,0,0,D,3.4,3.4,2.15,3.3,3.5,2.15,3.3,3.35,2.2
bundesliga,2016-2017,05/04/17,M'gladbach,Hertha,1,0,22,12,7,2,8,4,12,12,1,1,0,0,H,1,0,H,1.83,3.5,4.5,1.8,3.6,4.6,1.85,3.5,4.3
bundesliga,2016-2017,05/04/17,Wolfsburg,Freiburg,0,1,17,16,4,5,6,3,12,16,0,1,0,0,A,0,0,D,1.73,3.75,5,1.72,3.9,4.75,1.75,3.6,4.8
bundesliga,2016-2017,07/04/17,Ein Frankfurt,Werder Bremen,2,2,16,8,7,4,4,1,19,8,2,2,0,0,D,0,2,A,2,3.5,3.8,2,3.6,3.7,2.2,3.35,3.3
bundesliga,2016-2017,08/04/17,Bayern Munich,Dortmund,4,1,18,9,6,3,6,3,14,10,2,3,0,0,H,2,1,H,1.62,4,5.5,1.6,4.1,5.5,1.7,3.7,5
bundesliga,2016-2017,08/04/17,FC Koln,M'gladbach,2,3,9,16,2,7,5,6,17,10,2,2,0,0,A,1,1,D,2.63,3.2,2.8,2.6,3.3,2.75,2.5,3.4,2.75
bundesliga,2016-2017,08/04/17,Freiburg,Mainz,1,0,7,9,3,3,1,6,12,14,0,3,0,0,H,0,0,D,2.38,3.4,3,2.4,3.5,2.85,2.3,3.3,3.15
bundesliga,2016-2017,08/04/17,Hamburg,Hoffenheim,2,1,12,12,6,4,8,4,22,22,4,4,0,0,H,1,1,D,3.5,3.5,2.1,3.5,3.5,2.1,3.15,3.3,2.3
bundesliga,2016-2017,08/04/17,RB Leipzig,Leverkusen,1,0,14,14,5,3,8,2,13,12,0,1,1,0,H,0,0,D,1.91,3.6,4,1.95,3.6,3.8,1.9,3.5,4.1
bundesliga,2016-2017,08/04/17,Schalke 04,Wolfsburg,4,1,12,18,7,1,5,1,17,10,1,2,0,0,H,2,0,H,2,3.5,3.75,2.05,3.5,3.6,2,3.4,3.8
bundesliga,2016-2017,09/04/17,Hertha,Augsburg,2,0,18,5,8,0,7,0,17,20,1,2,0,0,H,2,0,H,1.75,3.5,5.25,1.78,3.5,5,1.75,3.6,4.8
bundesliga,2016-2017,09/04/17,Ingolstadt,Darmstadt,3,2,23,10,10,5,5,2,12,11,1,0,1,1,H,1,2,A,1.5,4,7.5,1.53,4.1,6.5,1.5,4.2,6.5
bundesliga,2016-2017,15/04/17,Augsburg,FC Koln,2,1,7,12,6,0,2,8,19,17,2,3,2,0,H,2,0,H,2.8,3.2,2.55,2.7,3.3,2.5,2.65,3.3,2.65
bundesliga,2016-2017,15/04/17,Dortmund,Ein Frankfurt,3,1,15,9,7,2,4,1,12,23,0,0,0,0,H,2,1,H,1.44,4.33,7,1.36,4.6,8.25,1.45,4.6,6.7
bundesliga,2016-2017,15/04/17,Hoffenheim,M'gladbach,5,3,16,10,9,4,5,1,6,20,2,4,0,0,H,2,2,D,2,3.5,3.6,2,3.3,3.7,2.1,3.4,3.5
bundesliga,2016-2017,15/04/17,Leverkusen,Bayern Munich,0,0,9,21,2,6,1,4,9,12,1,0,1,0,D,0,0,D,4.75,4.2,1.62,4.6,4.33,1.6,4.7,4.2,1.65
bundesliga,2016-2017,15/04/17,Mainz,Hertha,1,0,17,6,3,2,7,3,10,18,1,3,0,0,H,1,0,H,2.25,3.2,3.3,2.25,3.4,3,2.3,3.3,3.15
bundesliga,2016-2017,15/04/17,RB Leipzig,Freiburg,4,0,13,11,6,2,6,0,19,13,1,2,0,0,H,2,0,H,1.44,4.33,7,1.44,4.4,6.75,1.45,4.5,7
bundesliga,2016-2017,15/04/17,Wolfsburg,Ingolstadt,3,0,9,6,6,3,2,4,14,17,2,3,0,0,H,1,0,H,2,3.3,3.75,1.95,3.4,3.8,2,3.4,3.8
bundesliga,2016-2017,16/04/17,Darmstadt,Schalke 04,2,1,11,26,5,8,2,9,24,14,5,3,0,1,H,1,0,H,5.75,3.8,1.6,4.75,3.9,1.65,6.2,4,1.55
bundesliga,2016-2017,16/04/17,Werder Bremen,Hamburg,2,1,13,6,5,4,4,3,13,15,3,1,0,0,H,1,1,D,2.25,3.4,3.1,2.15,3.4,3.2,2.2,3.3,3.35
bundesliga,2016-2017,21/04/17,FC Koln,Hoffenheim,1,1,12,11,6,6,6,4,9,11,2,0,0,0,D,0,0,D,3,3.4,2.38,3,3.4,2.35,2.95,3.3,2.4
bundesliga,2016-2017,22/04/17,Bayern Munich,Mainz,2,2,19,10,6,5,14,2,5,6,1,1,0,0,D,1,2,A,1.18,7,17,1.19,7.25,14,1.2,7.5,11
bundesliga,2016-2017,22/04/17,Ein Frankfurt,Augsburg,3,1,20,10,7,4,4,2,14,8,2,1,0,0,H,0,1,A,1.75,3.6,5,1.75,3.75,4.75,1.85,3.6,4.2
bundesliga,2016-2017,22/04/17,Hamburg,Darmstadt,1,2,13,9,6,4,9,6,14,18,3,2,0,0,A,0,0,D,1.4,4.75,8,1.44,4.5,7.75,1.4,4.8,7.5
bundesliga,2016-2017,22/04/17,Hertha,Wolfsburg,1,0,14,10,5,2,5,2,10,18,3,5,0,0,H,0,0,D,2.5,3.3,2.9,2.45,3.4,2.9,2.3,3.3,3.15
bundesliga,2016-2017,22/04/17,Ingolstadt,Werder Bremen,2,4,15,9,5,5,9,2,16,11,3,2,0,0,A,1,1,D,2.2,3.5,3.2,2.25,3.5,3.1,2.3,3.4,3.05
bundesliga,2016-2017,22/04/17,M'gladbach,Dortmund,2,3,7,12,3,6,2,4,8,13,2,3,0,0,A,1,1,D,3.5,3.7,2.05,3.5,3.6,2.05,3.7,3.5,2
bundesliga,2016-2017,23/04/17,Freiburg,Leverkusen,2,1,11,11,5,4,5,5,7,13,2,2,0,0,H,1,0,H,3.4,3.6,2.1,3.3,3.5,2.15,2.95,3.5,2.3
bundesliga,2016-2017,23/04/17,Schalke 04,RB Leipzig,1,1,11,9,1,1,5,5,18,21,3,2,0,0,D,0,1,A,3,3.5,2.3,2.9,3.5,2.4,2.65,3.4,2.6
bundesliga,2016-2017,28/04/17,Leverkusen,Schalke 04,1,4,13,12,4,8,2,3,15,10,3,0,0,0,A,0,3,A,2.1,3.5,3.5,2,3.4,3.6,2.2,3.35,3.3
