league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
bundesliga,2017-2018,20/09/17,Freiburg,Hannover,1,1,23,14,5,3,5,3,17,19,2,4,0,0,D,0,0,D,2.8,3.25,2.6,2.7,3.2,2.7,2.6,3.3,2.7
bundesliga,2017-2018,20/09/17,Hamburg,Dortmund,0,3,6,17,2,7,4,3,15,14,3,0,0,0,A,0,1,A,7,4.75,1.44,7.25,5,1.4,6.5,4.2,1.5
bundesliga,2017-2018,20/09/17,Hertha,Leverkusen,2,1,5,12,3,5,3,6,12,25,1,2,0,0,H,2,0,H,3.3,3.4,2.2,3.2,3.4,2.25,2.95,3.3,2.4
bundesliga,2017-2018,20/09/17,Mainz,Hoffenheim,2,3,20,18,6,6,5,11,9,13,3,3,0,0,A,2,2,D,2.7,3.4,2.6,2.65,3.5,2.6,2.85,3.3,2.5
bundesliga,2017-2018,22/09/17,Bayern Munich,Wolfsburg,2,2,19,8,3,3,7,3,9,11,1,2,0,0,D,2,0,H,1.14,8.5,19,1.14,9,17,1.15,7.5,18
bundesliga,2017-2018,23/09/17,Dortmund,M'gladbach,6,1,18,8,9,5,7,0,2,6,0,1,0,0,H,3,0,H,1.44,4.75,7,1.42,4.75,7.25,1.45,4.5,7
bundesliga,2017-2018,23/09/17,Hoffenheim,Schalke 04,2,0,12,17,6,3,0,5,16,15,3,2,0,0,H,1,0,H,2.2,3.5,3.25,2.2,3.5,3.2,2.2,3.35,3.3
bundesliga,2017-2018,23/09/17,Mainz,Hertha,1,0,8,4,3,1,4,1,22,22,3,3,0,1,H,0,0,D,2.2,3.3,3.4,2.2,3.3,3.4,2.5,3.3,2.85
bundesliga,2017-2018,23/09/17,RB Leipzig,Ein Frankfurt,2,1,17,9,5,3,2,4,9,16,1,2,0,0,H,1,0,H,1.7,3.8,5,1.65,4,5.25,1.65,3.8,5.3
bundesliga,2017-2018,23/09/17,Stuttgart,Augsburg,0,0,15,9,2,2,5,3,7,14,1,2,0,0,D,0,0,D,2.1,3.4,3.6,2.1,3.5,3.5,2.3,3.3,3.15
bundesliga,2017-2018,23/09/17,Werder Bremen,Freiburg,0,0,17,13,6,6,4,5,15,9,2,1,0,0,D,0,0,D,1.7,4,4.75,1.72,3.9,4.75,1.75,3.8,4.5
bundesliga,2017-2018,24/09/17,Hannover,FC Koln,0,0,14,6,1,1,6,7,17,17,4,2,0,0,D,0,0,D,1.95,3.6,3.8,1.95,3.5,4,2.1,3.4,3.5
bundesliga,2017-2018,24/09/17,Leverkusen,Hamburg,3,0,17,12,6,2,6,3,17,18,2,2,0,0,H,2,0,H,1.36,5,8.5,1.4,4.75,8,1.45,4.5,7
bundesliga,2017-2018,29/09/17,Schalke 04,Leverkusen,1,1,14,10,5,6,7,4,19,16,2,3,0,0,D,1,0,H,2.3,3.4,3.1,2.4,3.4,2.95,2.4,3.3,2.95
bundesliga,2017-2018,30/09/17,Augsburg,Dortmund,1,2,10,14,5,8,5,5,23,12,4,1,0,0,A,1,2,A,7.5,4.5,1.44,7.25,4.6,1.4,7,4.5,1.45
bundesliga,2017-2018,30/09/17,Ein Frankfurt,Stuttgart,2,1,10,13,6,5,3,6,10,17,1,1,1,0,H,1,0,H,1.95,3.5,4,1.87,3.6,3.9,2,3.4,3.8
bundesliga,2017-2018,30/09/17,Hamburg,Werder Bremen,0,0,17,8,6,3,6,7,13,27,1,3,0,0,D,0,0,D,2.7,3.2,2.75,2.5,3.4,2.65,2.6,3.3,2.7
bundesliga,2017-2018,30/09/17,M'gladbach,Hannover,2,1,23,15,8,2,8,7,12,13,1,1,0,0,H,0,0,D,1.73,3.6,5.25,1.72,3.7,4.6,1.7,3.7,5
bundesliga,2017-2018,30/09/17,Wolfsburg,Mainz,1,1,6,10,2,3,5,6,7,13,4,4,1,0,D,0,0,D,2.1,3.4,3.6,2,3.4,3.6,2,3.4,3.8
bundesliga,2017-2018,01/10/17,FC Koln,RB Leipzig,1,2,16,23,6,10,9,7,9,13,0,2,0,0,A,0,1,A,3.8,3.5,2,3.6,3.4,2,3.5,3.4,2.1
bundesliga,2017-2018,01/10/17,Freiburg,Hoffenheim,3,2,15,15,6,6,9,7,13,17,2,3,0,0,H,2,1,H,3.6,3.5,2.05,3.5,3.5,2,3.8,3.4,2
bundesliga,2017-2018,01/10/17,Hertha,Bayern Munich,2,2,10,15,5,5,1,9,14,11,0,2,0,0,D,0,1,A,8.5,5,1.36,8.75,4.75,1.34,7,4.5,1.45
bundesliga,2017-2018,13/10/17,Stuttgart,FC Koln,2,1,22,17,7,3,5,4,12,13,2,3,0,0,H,1,0,H,1.83,3.6,4.33,1.9,3.6,4.1,2.1,3.4,3.5
bundesliga,2017-2018,14/10/17,Bayern Munich,Freiburg,5,0,22,6,10,2,9,1,5,7,0,0,0,0,H,2,0,H,1.08,13,21,1.07,12.5,26,1.12,9,20
bundesliga,2017-2018,14/10/17,Dortmund,RB Leipzig,2,3,15,7,8,6,3,2,16,19,2,5,1,1,A,1,2,A,1.5,4.5,6.5,1.5,4.5,6.25,1.6,4,5.5
bundesliga,2017-2018,14/10/17,Hannover,Ein Frankfurt,1,2,10,12,2,4,6,5,15,16,3,3,0,0,A,1,1,D,2.38,3.2,3.1,2.4,3.2,3.1,2.6,3.2,2.8
bundesliga,2017-2018,14/10/17,Hertha,Schalke 04,0,2,2,10,0,6,1,5,12,20,1,2,1,0,A,0,0,D,2.5,3.3,2.9,2.65,3.2,2.8,2.65,3.3,2.65
bundesliga,2017-2018,14/10/17,Hoffenheim,Augsburg,2,2,22,13,7,5,6,3,5,11,1,0,0,0,D,0,0,D,1.8,3.75,4.5,1.8,3.7,4.5,1.9,3.5,4.1
bundesliga,2017-2018,14/10/17,Mainz,Hamburg,3,2,14,9,4,2,4,2,14,17,1,1,0,0,H,1,1,D,1.7,3.75,5.25,1.72,3.6,5.25,1.8,3.6,4.5
bundesliga,2017-2018,15/10/17,Leverkusen,Wolfsburg,2,2,17,11,10,4,11,2,16,13,2,2,0,0,D,1,1,D,1.53,4.33,6,1.53,4.33,6,1.7,3.7,5
bundesliga,2017-2018,15/10/17,Werder Bremen,M'gladbach,0,2,18,16,5,8,5,5,11,10,1,0,0,0,A,0,2,A,2.63,3.5,2.6,2.7,3.5,2.55,2.9,3.4,2.4
bundesliga,2017-2018,20/10/17,Schalke 04,Mainz,2,0,14,4,5,2,5,1,17,15,3,0,0,0,H,1,0,H,1.8,3.7,4.5,1.78,3.6,4.75,1.8,3.6,4.5
bundesliga,2017-2018,21/10/17,Augsburg,Hannover,1,2,15,11,5,6,11,2,11,9,1,2,0,0,A,1,0,H,2.04,3.5,3.6,2.05,3.4,3.7,2,3.4,3.8
bundesliga,2017-2018,21/10/17,Ein Frankfurt,Dortmund,2,2,14,20,7,7,4,4,14,10,2,3,0,0,D,0,1,A,5,3.75,1.72,5.25,3.8,1.67,4.7,3.7,1.75
bundesliga,2017-2018,21/10/17,Hamburg,Bayern Munich,0,1,7,21,3,4,7,7,9,9,1,2,1,0,A,0,0,D,19,7,1.16,15.5,8,1.16,15,6.5,1.2
bundesliga,2017-2018,21/10/17,M'gladbach,Leverkusen,1,5,19,13,3,6,4,4,12,11,3,0,0,0,A,1,0,H,2.45,3.39,2.87,2.5,3.4,2.8,2.3,3.3,3.15
bundesliga,2017-2018,21/10/17,RB Leipzig,Stuttgart,1,0,15,11,3,2,3,5,10,18,0,1,0,0,H,1,0,H,1.53,4,7,1.48,4.5,6.5,1.5,4.2,6.5
bundesliga,2017-2018,22/10/17,FC Koln,Werder Bremen,0,0,18,13,8,2,3,6,16,20,3,3,0,0,D,0,0,D,2.39,3.29,3,2.35,3.5,2.95,2.5,3.3,2.85
bundesliga,2017-2018,22/10/17,Freiburg,Hertha,1,1,20,11,8,3,6,1,20,15,4,3,0,0,D,0,0,D,2.54,3.29,2.79,2.75,3.3,2.6,2.6,3.25,2.75
bundesliga,2017-2018,22/10/17,Wolfsburg,Hoffenheim,1,1,14,14,6,5,8,4,12,24,1,3,0,0,D,0,0,D,2.5,3.39,2.79,2.5,3.4,2.8,2.5,3.3,2.85
bundesliga,2017-2018,27/10/17,Mainz,Ein Frankfurt,1,1,7,8,3,3,5,5,15,21,0,2,0,0,D,0,1,A,2.79,3.2,2.54,2.7,3.4,2.6,2.65,3.25,2.7
bundesliga,2017-2018,28/10/17,Bayern Munich,RB Leipzig,2,0,23,3,7,1,11,1,7,9,1,0,0,1,H,2,0,H,1.33,5.5,8.5,1.35,5.5,7.75,1.5,4.5,6
bundesliga,2017-2018,28/10/17,Hannover,Dortmund,4,2,13,10,7,4,5,6,17,9,2,0,0,1,H,2,1,H,5.5,4.2,1.57,5.75,4.2,1.57,5.3,3.8,1.65
bundesliga,2017-2018,28/10/17,Hertha,Hamburg,2,1,8,12,3,4,9,11,14,13,0,0,0,0,H,1,0,H,1.9,3.39,4.33,1.85,3.4,4.25,1.9,3.5,4.1
bundesliga,2017-2018,28/10/17,Hoffenheim,M'gladbach,1,3,16,16,5,6,5,5,14,13,2,1,0,0,A,1,0,H,2.04,3.6,3.5,2.05,3.7,3.4,2.2,3.35,3.3
bundesliga,2017-2018,28/10/17,Leverkusen,FC Koln,2,1,17,9,5,2,8,10,14,13,3,2,0,0,H,0,1,A,1.33,5.25,9,1.36,5.25,8,1.4,4.8,7.5
bundesliga,2017-2018,28/10/17,Schalke 04,Wolfsburg,1,1,14,7,7,2,4,2,18,12,0,0,0,0,D,1,0,H,1.75,3.6,5,1.78,3.7,4.6,1.8,3.6,4.5
bundesliga,2017-2018,29/10/17,Stuttgart,Freiburg,3,0,18,6,6,0,6,0,13,10,3,0,0,1,H,2,0,H,1.83,3.5,4.5,1.75,3.75,4.75,1.9,3.5,4.1
bundesliga,2017-2018,29/10/17,Werder Bremen,Augsburg,0,3,16,18,3,6,7,3,15,11,2,0,0,0,A,0,2,A,2.29,3.29,3.2,2.4,3.5,2.9,2.6,3.25,2.75
bundesliga,2017-2018,03/11/17,Ein Frankfurt,Werder Bremen,2,1,16,13,5,7,7,8,11,13,0,0,0,0,H,1,1,D,1.75,3.75,4.75,1.78,3.75,4.5,1.85,3.5,4.3
bundesliga,2017-2018,04/11/17,Augsburg,Leverkusen,1,1,14,11,4,3,6,3,13,15,3,2,0,0,D,0,0,D,3.5,3.6,2.04,3.5,3.6,2.05,3.3,3.35,2.2
bundesliga,2017-2018,04/11/17,Dortmund,Bayern Munich,1,3,15,10,4,5,4,3,12,16,2,2,0,0,A,0,2,A,3.29,3.79,2.04,3.4,3.8,2.05,3.15,3.5,2.2
bundesliga,2017-2018,04/11/17,Freiburg,Schalke 04,0,1,13,8,2,3,6,1,14,12,1,1,0,0,A,0,0,D,3.79,3.29,2.04,3.6,3.5,2.05,3.3,3.35,2.2
bundesliga,2017-2018,04/11/17,Hamburg,Stuttgart,3,1,21,3,12,2,11,3,14,10,2,2,0,1,H,1,0,H,2.45,3.39,2.87,2.35,3.4,3,2.4,3.3,2.95
bundesliga,2017-2018,04/11/17,M'gladbach,Mainz,1,1,10,20,3,7,9,9,5,14,1,0,0,0,D,0,1,A,1.61,4,5.5,1.65,4,5.25,1.65,3.8,5.3
bundesliga,2017-2018,04/11/17,RB Leipzig,Hannover,2,1,18,12,6,4,2,3,11,16,1,4,0,0,H,0,0,D,1.44,4.5,7.5,1.45,4.5,7,1.5,4.2,6.5
bundesliga,2017-2018,05/11/17,FC Koln,Hoffenheim,0,3,12,22,4,8,7,6,17,14,0,0,0,0,A,0,1,A,2.87,3.39,2.45,2.85,3.6,2.35,2.65,3.3,2.65
bundesliga,2017-2018,05/11/17,Wolfsburg,Hertha,3,3,20,10,8,6,4,2,14,19,1,1,0,0,D,2,1,H,2,3.39,4,2.05,3.4,3.8,2.15,3.3,3.5
bundesliga,2017-2018,17/11/17,Stuttgart,Dortmund,2,1,9,13,4,7,5,4,16,12,2,0,0,0,H,1,1,D,4.2,3.89,1.8,4.2,3.9,1.8,4.2,3.6,1.85
bundesliga,2017-2018,18/11/17,Bayern Munich,Augsburg,3,0,16,8,6,3,6,3,13,16,0,3,0,0,H,2,0,H,1.16,8,15,1.14,8.5,18,1.15,8,16
bundesliga,2017-2018,18/11/17,Hertha,M'gladbach,2,4,16,8,8,5,8,2,15,12,2,1,0,0,A,1,3,A,2.89,3.25,2.5,2.95,3.4,2.4,2.65,3.3,2.65
bundesliga,2017-2018,18/11/17,Hoffenheim,Ein Frankfurt,1,1,13,5,6,3,4,3,14,19,0,2,0,0,D,0,1,A,2.2,3.39,3.39,2.15,3.6,3.25,2.2,3.35,3.3
bundesliga,2017-2018,18/11/17,Leverkusen,RB Leipzig,2,2,13,12,3,3,2,1,14,13,5,2,1,0,D,1,1,D,2.29,3.5,3,2.25,3.5,3.1,2.4,3.4,2.9
bundesliga,2017-2018,18/11/17,Mainz,FC Koln,1,0,12,11,3,0,0,3,12,15,0,2,1,0,H,1,0,H,2.04,3.39,3.79,2,3.5,3.8,2.1,3.4,3.5
bundesliga,2017-2018,18/11/17,Wolfsburg,Freiburg,3,1,15,12,7,7,1,3,8,8,1,2,0,0,H,2,0,H,1.61,3.75,6,1.6,4,5.75,1.65,3.8,5.3
bundesliga,2017-2018,19/11/17,Schalke 04,Hamburg,2,0,12,7,4,1,7,6,16,19,3,3,0,0,H,1,0,H,1.57,3.79,6.5,1.57,4,6.25,1.55,4,6.2
bundesliga,2017-2018,19/11/17,Werder Bremen,Hannover,4,0,16,13,7,7,3,2,14,16,0,1,0,0,H,1,0,H,2.2,3.39,3.29,2.25,3.3,3.3,2.3,3.3,3.15
bundesliga,2017-2018,24/11/17,Hannover,Stuttgart,1,1,15,13,4,4,4,5,14,16,1,5,0,0,D,0,1,A,2.29,3.39,3.1,2.4,3.4,2.95,2.4,3.3,2.95
bundesliga,2017-2018,25/11/17,Augsburg,Wolfsburg,2,1,23,4,8,3,6,1,7,12,1,2,0,1,H,0,1,A,2.37,3.29,3.1,2.35,3.3,3.1,2.5,3.3,2.85
bundesliga,2017-2018,25/11/17,Dortmund,Schalke 04,4,4,11,12,6,7,3,5,17,19,5,5,1,0,D,4,0,H,1.72,4.2,4.33,1.78,4.1,4.1,1.9,3.8,3.8
bundesliga,2017-2018,25/11/17,Ein Frankfurt,Leverkusen,0,1,12,13,3,4,9,2,18,14,4,3,0,0,A,0,0,D,2.62,3.5,2.62,2.65,3.6,2.55,2.65,3.3,2.65
bundesliga,2017-2018,25/11/17,Freiburg,Mainz,2,1,15,17,5,5,2,5,16,15,3,2,0,0,H,0,0,D,2.75,3.29,2.6,2.7,3.4,2.6,2.65,3.3,2.65
bundesliga,2017-2018,25/11/17,M'gladbach,Bayern Munich,2,1,6,21,2,7,2,5,12,9,1,1,0,0,H,2,0,H,5.75,4.75,1.5,5.75,4.5,1.53,6,4.2,1.55
bundesliga,2017-2018,25/11/17,RB Leipzig,Werder Bremen,2,0,14,9,6,3,8,8,9,10,0,1,0,0,H,1,0,H,1.5,4.33,6.5,1.5,4.6,6,1.5,4.2,6.5
bundesliga,2017-2018,26/11/17,FC Koln,Hertha,0,2,15,10,2,7,3,4,15,8,2,0,0,0,A,0,1,A,2.5,3.2,3,2.5,3.2,2.95,2.4,3.2,3.05
bundesliga,2017-2018,26/11/17,Hamburg,Hoffenheim,3,0,18,13,7,2,7,8,16,23,0,3,0,0,H,1,0,H,2.79,3.39,2.5,2.85,3.4,2.45,2.85,3.3,2.5
bundesliga,2017-2018,01/12/17,Freiburg,Hamburg,0,0,20,10,2,3,7,5,13,19,2,3,0,0,D,0,0,D,2.5,3.25,2.89,2.5,3.2,2.95,2.5,3.2,2.95
bundesliga,2017-2018,02/12/17,Bayern Munich,Hannover,3,1,29,8,12,4,9,3,12,8,2,2,0,0,H,1,1,D,1.14,9,17,1.14,8,21,1.15,7.5,18
bundesliga,2017-2018,02/12/17,Hoffenheim,RB Leipzig,4,0,10,11,8,5,0,7,14,10,2,0,0,0,H,1,0,H,3.29,3.6,2.1,3.1,3.6,2.2,3.15,3.3,2.3
bundesliga,2017-2018,02/12/17,Leverkusen,Dortmund,1,1,15,9,9,3,7,4,8,19,1,3,1,0,D,1,0,H,2.25,3.6,3,2.35,3.7,2.85,2.4,3.5,2.85
bundesliga,2017-2018,02/12/17,Mainz,Augsburg,1,3,16,10,5,4,4,3,17,13,4,1,0,0,A,0,2,A,2.6,3.25,2.79,2.45,3.4,2.85,2.4,3.2,3.05
bundesliga,2017-2018,02/12/17,Schalke 04,FC Koln,2,2,23,7,10,4,7,4,14,18,0,2,0,1,D,1,0,H,1.44,4.33,8,1.42,4.5,8.25,1.45,4.5,7
bundesliga,2017-2018,02/12/17,Werder Bremen,Stuttgart,1,0,15,12,6,4,5,8,13,17,2,1,0,0,H,1,0,H,2.29,3.39,3.1,2.3,3.4,3.1,2.3,3.3,3.15
bundesliga,2017-2018,03/12/17,Hertha,Ein Frankfurt,1,2,15,7,5,5,4,2,15,13,1,3,0,0,A,1,1,D,2.7,3.25,2.7,2.75,3.4,2.55,2.65,3.3,2.65
bundesliga,2017-2018,03/12/17,Wolfsburg,M'gladbach,3,0,13,16,6,9,6,5,7,15,0,2,0,0,H,2,0,H,2.62,3.39,2.62,2.6,3.5,2.65,2.65,3.3,2.65
bundesliga,2017-2018,08/12/17,Stuttgart,Leverkusen,0,2,9,18,5,4,8,5,12,12,1,1,0,0,A,0,1,A,3.2,3.5,2.25,3.25,3.5,2.2,3.15,3.3,2.3
bundesliga,2017-2018,09/12/17,Dortmund,Werder Bremen,1,2,11,9,5,4,4,2,8,6,0,0,0,0,A,0,1,A,1.39,5.25,7,1.42,5.25,6.5,1.45,4.8,6.5
bundesliga,2017-2018,09/12/17,Ein Frankfurt,Bayern Munich,0,1,12,6,3,1,5,5,16,12,2,3,0,0,A,0,1,A,7,4.75,1.44,7,4.75,1.44,6.2,4,1.55
bundesliga,2017-2018,09/12/17,Hamburg,Wolfsburg,0,0,12,3,3,0,6,2,15,12,2,2,0,0,D,0,0,D,2.5,3.29,2.87,2.5,3.3,2.85,2.6,3.3,2.7
bundesliga,2017-2018,09/12/17,M'gladbach,Schalke 04,1,1,13,13,5,6,8,10,12,7,1,2,0,0,D,1,0,H,2.25,3.39,3.2,2.2,3.5,3.25,2.3,3.3,3.15
bundesliga,2017-2018,09/12/17,RB Leipzig,Mainz,2,2,12,13,7,9,6,4,16,17,2,3,0,0,D,2,1,H,1.39,4.75,8,1.4,5,7.5,1.45,4.4,7.2
bundesliga,2017-2018,10/12/17,Augsburg,Hertha,1,1,15,8,3,4,11,3,11,9,2,2,0,0,D,0,0,D,1.95,3.29,4,1.9,3.6,4.1,1.9,3.4,4.3
bundesliga,2017-2018,10/12/17,FC Koln,Freiburg,3,4,6,25,3,11,4,9,20,14,3,3,0,0,A,3,1,H,2.25,3.25,3.2,2.2,3.4,3.3,2.3,3.15,3.3
bundesliga,2017-2018,10/12/17,Hannover,Hoffenheim,2,0,12,9,3,5,2,1,12,15,2,5,0,0,H,0,0,D,2.7,3.39,2.5,2.8,3.4,2.5,2.65,3.3,2.65
