captured_at,match_date,event_id,kickoff_at,snapshot_kind,bookmaker,competition,home_team,away_team,team,market,line,side,odds_decimal,source,notes
2026-08-27T19:44:06Z,2026-08-29,71945210,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,ACF Fiorentina,Frosinone Calcio,Frosinone Calcio,TEAM_SHOTS,8.5,over,1.7270,odds_api_io,market=Total Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945210,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,ACF Fiorentina,Frosinone Calcio,Frosinone Calcio,TEAM_SHOTS,8.5,under,2.0000,odds_api_io,market=Total Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945210,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,ACF Fiorentina,Frosinone Calcio,ACF Fiorentina,TEAM_SHOTS,14.5,over,1.8330,odds_api_io,market=Team Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945210,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,ACF Fiorentina,Frosinone Calcio,ACF Fiorentina,TEAM_SHOTS,14.5,under,1.8330,odds_api_io,market=Team Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945210,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,ACF Fiorentina,Frosinone Calcio,ACF Fiorentina,TEAM_SHOTS,14.5,over,1.8330,odds_api_io,market=Total Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945210,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,ACF Fiorentina,Frosinone Calcio,ACF Fiorentina,TEAM_SHOTS,14.5,under,1.8330,odds_api_io,market=Total Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945210,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,ACF Fiorentina,Frosinone Calcio,Frosinone Calcio,TEAM_SHOTS,8.5,over,1.7270,odds_api_io,market=Team Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945210,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,ACF Fiorentina,Frosinone Calcio,Frosinone Calcio,TEAM_SHOTS,8.5,under,2.0000,odds_api_io,market=Team Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Parma Calcio,TEAM_SHOTS,8.5,over,2.1000,odds_api_io,market=Team Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Parma Calcio,TEAM_SHOTS,8.5,under,1.6660,odds_api_io,market=Team Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Parma Calcio,TEAM_SHOTS,8.5,over,2.1000,odds_api_io,market=Total Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Parma Calcio,TEAM_SHOTS,8.5,under,1.6660,odds_api_io,market=Total Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Juventus Turin,TEAM_SHOTS,19.5,over,1.9090,odds_api_io,market=Total Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Juventus Turin,TEAM_SHOTS,19.5,under,1.8000,odds_api_io,market=Total Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Juventus Turin,TEAM_SHOTS,19.5,over,1.9090,odds_api_io,market=Team Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Juventus Turin,TEAM_SHOTS,19.5,under,1.8000,odds_api_io,market=Team Shots Home
2026-08-27T19:44:06Z,2026-08-28,71945218,2026-08-28T18:45:00Z,live_capture,Bet365,Serie A,AC Milan,Venezia FC,Venezia FC,TEAM_SHOTS,8.5,over,1.8000,odds_api_io,market=Team Shots Away
2026-08-27T19:44:06Z,2026-08-28,71945218,2026-08-28T18:45:00Z,live_capture,Bet365,Serie A,AC Milan,Venezia FC,Venezia FC,TEAM_SHOTS,8.5,under,1.9090,odds_api_io,market=Team Shots Away
2026-08-27T19:44:06Z,2026-08-28,71945218,2026-08-28T18:45:00Z,live_capture,Bet365,Serie A,AC Milan,Venezia FC,Venezia FC,TEAM_SHOTS,8.5,over,1.8000,odds_api_io,market=Total Shots Away
2026-08-27T19:44:06Z,2026-08-28,71945218,2026-08-28T18:45:00Z,live_capture,Bet365,Serie A,AC Milan,Venezia FC,Venezia FC,TEAM_SHOTS,8.5,under,1.9090,odds_api_io,market=Total Shots Away
2026-08-27T19:44:06Z,2026-08-28,71945218,2026-08-28T18:45:00Z,live_capture,Bet365,Serie A,AC Milan,Venezia FC,AC Milan,TEAM_SHOTS,15.5,over,1.8330,odds_api_io,market=Total Shots Home
2026-08-27T19:44:06Z,2026-08-28,71945218,2026-08-28T18:45:00Z,live_capture,Bet365,Serie A,AC Milan,Venezia FC,AC Milan,TEAM_SHOTS,15.5,under,1.8330,odds_api_io,market=Total Shots Home
2026-08-27T19:44:06Z,2026-08-28,71945218,2026-08-28T18:45:00Z,live_capture,Bet365,Serie A,AC Milan,Venezia FC,AC Milan,TEAM_SHOTS,15.5,over,1.8330,odds_api_io,market=Team Shots Home
2026-08-27T19:44:06Z,2026-08-28,71945218,2026-08-28T18:45:00Z,live_capture,Bet365,Serie A,AC Milan,Venezia FC,AC Milan,TEAM_SHOTS,15.5,under,1.8330,odds_api_io,market=Team Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945220,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,AC Monza,Udinese Calcio,Udinese Calcio,TEAM_SHOTS,13.5,over,2.0000,odds_api_io,market=Team Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945220,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,AC Monza,Udinese Calcio,Udinese Calcio,TEAM_SHOTS,13.5,under,1.7270,odds_api_io,market=Team Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945220,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,AC Monza,Udinese Calcio,Udinese Calcio,TEAM_SHOTS,13.5,over,2.0000,odds_api_io,market=Total Shots Away
