captured_at,match_date,event_id,kickoff_at,snapshot_kind,bookmaker,competition,home_team,away_team,team,market,line,side,odds_decimal,source,notes
2026-09-12T13:09:04Z,2026-09-12,72221254,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,AFC Bournemouth,Brentford FC,AFC Bournemouth,TEAM_SHOTS,15.5,over,2.0000,odds_api_io,market=Total Shots Home
2026-09-12T13:09:04Z,2026-09-12,72221254,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,AFC Bournemouth,Brentford FC,AFC Bournemouth,TEAM_SHOTS,15.5,under,1.7270,odds_api_io,market=Total Shots Home
2026-09-12T13:09:04Z,2026-09-12,72221254,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,AFC Bournemouth,Brentford FC,Brentford FC,TEAM_SHOTS,12.5,over,2.0000,odds_api_io,market=Total Shots Away
2026-09-12T13:09:04Z,2026-09-12,72221254,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,AFC Bournemouth,Brentford FC,Brentford FC,TEAM_SHOTS,12.5,under,1.7270,odds_api_io,market=Total Shots Away
2026-09-12T13:09:04Z,2026-09-12,72221256,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Chelsea FC,Hull City,Chelsea FC,TEAM_SHOTS,19.5,over,1.8330,odds_api_io,market=Total Shots Home
2026-09-12T13:09:04Z,2026-09-12,72221256,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Chelsea FC,Hull City,Chelsea FC,TEAM_SHOTS,19.5,under,1.8330,odds_api_io,market=Total Shots Home
2026-09-12T13:09:04Z,2026-09-12,72221256,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Chelsea FC,Hull City,Hull City,TEAM_SHOTS,8.5,over,2.0000,odds_api_io,market=Total Shots Away
2026-09-12T13:09:04Z,2026-09-12,72221256,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Chelsea FC,Hull City,Hull City,TEAM_SHOTS,8.5,under,1.7270,odds_api_io,market=Total Shots Away
2026-09-12T13:09:04Z,2026-09-12,72221260,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Crystal Palace,Ipswich Town,Ipswich Town,TEAM_SHOTS,11.5,over,2.0000,odds_api_io,market=Total Shots Away
2026-09-12T13:09:04Z,2026-09-12,72221260,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Crystal Palace,Ipswich Town,Ipswich Town,TEAM_SHOTS,11.5,under,1.7270,odds_api_io,market=Total Shots Away
2026-09-12T13:09:04Z,2026-09-12,72221260,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Crystal Palace,Ipswich Town,Crystal Palace,TEAM_SHOTS,15.5,over,1.8000,odds_api_io,market=Total Shots Home
2026-09-12T13:09:04Z,2026-09-12,72221260,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Crystal Palace,Ipswich Town,Crystal Palace,TEAM_SHOTS,15.5,under,1.9090,odds_api_io,market=Total Shots Home
2026-09-12T13:09:04Z,2026-09-12,72221264,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Liverpool FC,Fulham FC,Fulham FC,TEAM_SHOTS,10.5,over,1.9090,odds_api_io,market=Total Shots Away
2026-09-12T13:09:04Z,2026-09-12,72221264,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Liverpool FC,Fulham FC,Fulham FC,TEAM_SHOTS,10.5,under,1.8000,odds_api_io,market=Total Shots Away
2026-09-12T13:09:04Z,2026-09-12,72221264,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Liverpool FC,Fulham FC,Liverpool FC,TEAM_SHOTS,15.5,over,1.8000,odds_api_io,market=Total Shots Home
2026-09-12T13:09:04Z,2026-09-12,72221264,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Liverpool FC,Fulham FC,Liverpool FC,TEAM_SHOTS,15.5,under,1.9090,odds_api_io,market=Total Shots Home
2026-09-12T13:09:04Z,2026-09-12,72221252,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Aston Villa,Nottingham Forest,Nottingham Forest,TEAM_SHOTS,11.5,over,2.0000,odds_api_io,market=Total Shots Away
2026-09-12T13:09:04Z,2026-09-12,72221252,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Aston Villa,Nottingham Forest,Nottingham Forest,TEAM_SHOTS,11.5,under,1.7270,odds_api_io,market=Total Shots Away
2026-09-12T13:09:04Z,2026-09-12,72221252,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Aston Villa,Nottingham Forest,Aston Villa,TEAM_SHOTS,14.5,over,2.0000,odds_api_io,market=Total Shots Home
2026-09-12T13:09:04Z,2026-09-12,72221252,2026-09-12T14:00:00Z,live_capture,Bet365,Premier League,Aston Villa,Nottingham Forest,Aston Villa,TEAM_SHOTS,14.5,under,1.7270,odds_api_io,market=Total Shots Home
