scope,league,lambda_source,alpha,edge_threshold,n,wins,losses,pushes,pnl,staked,roi_pct,avg_prob,avg_edge,avg_odds,overs,unders
league,bundesliga,blend_60venue_40recent,0.00,0.00,7,4,3,0,0.454,7.0,6.4857,0.65773,0.19555,1.8259,1,6
league,epl,blend_60venue_40recent,0.00,0.00,8,2,6,0,-4.364,8.0,-54.55,0.66271,0.22421,1.8495,3,5
league,la-liga,blend_60venue_40recent,0.00,0.00,13,8,5,0,1.589,13.0,12.2231,0.70066,0.28446,1.8352,8,5
league,serie-a,blend_60venue_40recent,0.00,0.00,11,6,5,0,0.087,11.0,0.7909,0.68527,0.27822,1.8671,6,5
league,bundesliga,blend_60venue_40recent,0.00,0.05,6,3,3,0,-0.455,6.0,-7.5833,0.67737,0.22304,1.812,0,6
league,epl,blend_60venue_40recent,0.00,0.05,7,2,5,0,-3.364,7.0,-48.0571,0.67718,0.25473,1.8566,3,4
league,la-liga,blend_60venue_40recent,0.00,0.05,12,7,5,0,0.756,12.0,6.3,0.7128,0.30672,1.8354,8,4
league,serie-a,blend_60venue_40recent,0.00,0.05,11,6,5,0,0.087,11.0,0.7909,0.68527,0.27822,1.8671,6,5
league,bundesliga,blend_60venue_40recent,0.00,0.10,5,2,3,0,-1.364,5.0,-27.28,0.70232,0.25664,1.7926,0,5
league,epl,blend_60venue_40recent,0.00,0.10,6,2,4,0,-2.364,6.0,-39.4,0.69413,0.28805,1.8605,3,3
league,la-liga,blend_60venue_40recent,0.00,0.10,12,7,5,0,0.756,12.0,6.3,0.7128,0.30672,1.8354,8,4
league,serie-a,blend_60venue_40recent,0.00,0.10,11,6,5,0,0.087,11.0,0.7909,0.68527,0.27822,1.8671,6,5
league,bundesliga,blend_60venue_40recent,0.00,0.15,3,0,3,0,-3.0,3.0,-100.0,0.75274,0.33724,1.7757,0,3
league,epl,blend_60venue_40recent,0.00,0.15,6,2,4,0,-2.364,6.0,-39.4,0.69413,0.28805,1.8605,3,3
league,la-liga,blend_60venue_40recent,0.00,0.15,8,3,5,0,-2.546,8.0,-31.825,0.75715,0.39109,1.8404,5,3
league,serie-a,blend_60venue_40recent,0.00,0.15,9,4,5,0,-1.44,9.0,-16.0,0.69375,0.30878,1.8901,4,5
league,bundesliga,blend_60venue_40recent,0.00,0.20,2,0,2,0,-2.0,2.0,-100.0,0.80739,0.42676,1.7635,0,2
league,epl,blend_60venue_40recent,0.00,0.20,4,2,2,0,-0.364,4.0,-9.1,0.72985,0.34221,1.8408,3,1
league,la-liga,blend_60venue_40recent,0.00,0.20,7,3,4,0,-1.546,7.0,-22.0857,0.76695,0.41992,1.8566,4,3
league,serie-a,blend_60venue_40recent,0.00,0.20,7,3,4,0,-1.349,7.0,-19.2714,0.72188,0.35048,1.8717,3,4
league,bundesliga,blend_60venue_40recent,0.00,0.25,2,0,2,0,-2.0,2.0,-100.0,0.80739,0.42676,1.7635,0,2
league,epl,blend_60venue_40recent,0.00,0.25,4,2,2,0,-0.364,4.0,-9.1,0.72985,0.34221,1.8408,3,1
league,la-liga,blend_60venue_40recent,0.00,0.25,6,3,3,0,-0.546,6.0,-9.1,0.78535,0.45602,1.8605,3,3
league,serie-a,blend_60venue_40recent,0.00,0.25,5,3,2,0,0.651,5.0,13.02,0.74669,0.40179,1.8786,2,3
league,bundesliga,blend_60venue_40recent,0.03,0.00,6,3,3,0,-0.455,6.0,-7.5833,0.66574,0.20254,1.812,0,6
league,epl,blend_60venue_40recent,0.03,0.00,8,2,6,0,-4.364,8.0,-54.55,0.64332,0.18875,1.8495,3,5
league,la-liga,blend_60venue_40recent,0.03,0.00,13,8,5,0,1.589,13.0,12.2231,0.67262,0.23358,1.8352,8,5
league,serie-a,blend_60venue_40recent,0.03,0.00,11,6,5,0,0.087,11.0,0.7909,0.65999,0.23137,1.8671,6,5
league,bundesliga,blend_60venue_40recent,0.03,0.05,6,3,3,0,-0.455,6.0,-7.5833,0.66574,0.20254,1.812,0,6
league,epl,blend_60venue_40recent,0.03,0.05,7,2,5,0,-3.364,7.0,-48.0571,0.65463,0.2135,1.8566,3,4
league,la-liga,blend_60venue_40recent,0.03,0.05,12,7,5,0,0.756,12.0,6.3,0.68213,0.25106,1.8354,8,4
league,serie-a,blend_60venue_40recent,0.03,0.05,11,6,5,0,0.087,11.0,0.7909,0.65999,0.23137,1.8671,6,5
league,bundesliga,blend_60venue_40recent,0.03,0.10,5,2,3,0,-1.364,5.0,-27.28,0.6875,0.23041,1.7926,0,5
league,epl,blend_60venue_40recent,0.03,0.10,6,2,4,0,-2.364,6.0,-39.4,0.66772,0.23975,1.8605,3,3
league,la-liga,blend_60venue_40recent,0.03,0.10,9,4,5,0,-1.637,9.0,-18.1889,0.71037,0.3104,1.848,5,4
league,serie-a,blend_60venue_40recent,0.03,0.10,9,4,5,0,-1.44,9.0,-16.0,0.66947,0.26316,1.8901,4,5
league,bundesliga,blend_60venue_40recent,0.03,0.15,2,0,2,0,-2.0,2.0,-100.0,0.78301,0.3836,1.7635,0,2
league,epl,blend_60venue_40recent,0.03,0.15,6,2,4,0,-2.364,6.0,-39.4,0.66772,0.23975,1.8605,3,3
league,la-liga,blend_60venue_40recent,0.03,0.15,6,3,3,0,-0.546,6.0,-9.1,0.75438,0.39918,1.8605,3,3
league,serie-a,blend_60venue_40recent,0.03,0.15,8,3,5,0,-2.349,8.0,-29.3625,0.68039,0.28216,1.8878,3,5
league,bundesliga,blend_60venue_40recent,0.03,0.20,2,0,2,0,-2.0,2.0,-100.0,0.78301,0.3836,1.7635,0,2
league,epl,blend_60venue_40recent,0.03,0.20,4,2,2,0,-0.364,4.0,-9.1,0.69297,0.2747,1.8408,3,1
league,la-liga,blend_60venue_40recent,0.03,0.20,6,3,3,0,-0.546,6.0,-9.1,0.75438,0.39918,1.8605,3,3
league,serie-a,blend_60venue_40recent,0.03,0.20,6,3,3,0,-0.349,6.0,-5.8167,0.70964,0.32363,1.8655,2,4
league,bundesliga,blend_60venue_40recent,0.03,0.25,1,0,1,0,-1.0,1.0,-100.0,0.85845,0.5452,1.8,0,1
league,epl,blend_60venue_40recent,0.03,0.25,2,1,1,0,-0.091,2.0,-4.55,0.68469,0.33831,1.9545,1,1
league,la-liga,blend_60venue_40recent,0.03,0.25,4,2,2,0,-0.273,4.0,-6.825,0.80492,0.49294,1.859,1,3
league,serie-a,blend_60venue_40recent,0.03,0.25,5,3,2,0,0.651,5.0,13.02,0.71717,0.34645,1.8786,2,3
league,bundesliga,blend_60venue_40recent,0.06,0.00,6,3,3,0,-0.455,6.0,-7.5833,0.65885,0.19046,1.812,0,6
league,epl,blend_60venue_40recent,0.06,0.00,8,2,6,0,-4.364,8.0,-54.55,0.6304,0.16516,1.8495,3,5
league,la-liga,blend_60venue_40recent,0.06,0.00,13,7,6,0,-0.244,13.0,-1.8769,0.65319,0.19839,1.8352,7,6
league,serie-a,blend_60venue_40recent,0.06,0.00,11,6,5,0,0.087,11.0,0.7909,0.64244,0.19886,1.8671,6,5
league,bundesliga,blend_60venue_40recent,0.06,0.05,6,3,3,0,-0.455,6.0,-7.5833,0.65885,0.19046,1.812,0,6
league,epl,blend_60venue_40recent,0.06,0.05,7,2,5,0,-3.364,7.0,-48.0571,0.63939,0.1857,1.8566,3,4
league,la-liga,blend_60venue_40recent,0.06,0.05,9,4,5,0,-1.637,9.0,-18.1889,0.68959,0.27265,1.848,5,4
league,serie-a,blend_60venue_40recent,0.06,0.05,10,5,5,0,-0.64,10.0,-6.4,0.64604,0.21402,1.8811,5,5
league,bundesliga,blend_60venue_40recent,0.06,0.10,5,2,3,0,-1.364,5.0,-27.28,0.6784,0.21432,1.7926,0,5
league,epl,blend_60venue_40recent,0.06,0.10,6,2,4,0,-2.364,6.0,-39.4,0.64964,0.20677,1.8605,3,3
league,la-liga,blend_60venue_40recent,0.06,0.10,7,4,3,0,0.363,7.0,5.1857,0.71197,0.3256,1.8674,3,4
league,serie-a,blend_60venue_40recent,0.06,0.10,8,3,5,0,-2.349,8.0,-29.3625,0.6643,0.25202,1.8878,3,5
league,bundesliga,blend_60venue_40recent,0.06,0.15,2,0,2,0,-2.0,2.0,-100.0,0.76621,0.3538,1.7635,0,2
league,epl,blend_60venue_40recent,0.06,0.15,6,2,4,0,-2.364,6.0,-39.4,0.64964,0.20677,1.8605,3,3
league,la-liga,blend_60venue_40recent,0.06,0.15,5,2,3,0,-1.273,5.0,-25.46,0.74515,0.3997,1.8872,2,3
league,serie-a,blend_60venue_40recent,0.06,0.15,7,3,4,0,-1.349,7.0,-19.2714,0.67558,0.27126,1.8847,2,5
league,bundesliga,blend_60venue_40recent,0.06,0.20,2,0,2,0,-2.0,2.0,-100.0,0.76621,0.3538,1.7635,0,2
league,epl,blend_60venue_40recent,0.06,0.20,2,1,1,0,-0.091,2.0,-4.55,0.66398,0.29734,1.9545,1,1
league,la-liga,blend_60venue_40recent,0.06,0.20,4,2,2,0,-0.273,4.0,-6.825,0.78483,0.45639,1.859,1,3
league,serie-a,blend_60venue_40recent,0.06,0.20,5,3,2,0,0.651,5.0,13.02,0.69695,0.30857,1.8786,2,3
league,bundesliga,blend_60venue_40recent,0.06,0.25,1,0,1,0,-1.0,1.0,-100.0,0.83691,0.50644,1.8,0,1
league,epl,blend_60venue_40recent,0.06,0.25,2,1,1,0,-0.091,2.0,-4.55,0.66398,0.29734,1.9545,1,1
league,la-liga,blend_60venue_40recent,0.06,0.25,4,2,2,0,-0.273,4.0,-6.825,0.78483,0.45639,1.859,1,3
league,serie-a,blend_60venue_40recent,0.06,0.25,4,3,1,0,1.651,4.0,41.275,0.70874,0.32559,1.871,1,3
league,bundesliga,blend_60venue_40recent,0.10,0.00,6,3,3,0,-0.455,6.0,-7.5833,0.6535,0.18114,1.812,0,6
league,epl,blend_60venue_40recent,0.10,0.00,8,2,6,0,-4.364,8.0,-54.55,0.6185,0.14351,1.8495,3,5
league,la-liga,blend_60venue_40recent,0.10,0.00,11,5,6,0,-1.804,11.0,-16.4,0.65044,0.19966,1.8453,5,6
league,serie-a,blend_60venue_40recent,0.10,0.00,11,6,5,0,0.087,11.0,0.7909,0.62555,0.16763,1.8671,6,5
league,bundesliga,blend_60venue_40recent,0.10,0.05,6,3,3,0,-0.455,6.0,-7.5833,0.6535,0.18114,1.812,0,6
league,epl,blend_60venue_40recent,0.10,0.05,7,2,5,0,-3.364,7.0,-48.0571,0.62517,0.15981,1.8566,3,4
league,la-liga,blend_60venue_40recent,0.10,0.05,8,4,4,0,-0.637,8.0,-7.9625,0.678,0.26089,1.8631,4,4
league,serie-a,blend_60venue_40recent,0.10,0.05,8,3,5,0,-2.349,8.0,-29.3625,0.64921,0.22379,1.8878,3,5
league,bundesliga,blend_60venue_40recent,0.10,0.10,5,2,3,0,-1.364,5.0,-27.28,0.67092,0.20112,1.7926,0,5
league,epl,blend_60venue_40recent,0.10,0.10,5,2,3,0,-1.364,5.0,-27.28,0.63191,0.19121,1.8872,2,3
league,la-liga,blend_60venue_40recent,0.10,0.10,6,3,3,0,-0.364,6.0,-6.0667,0.70265,0.32328,1.8908,2,4
league,serie-a,blend_60venue_40recent,0.10,0.10,7,3,4,0,-1.349,7.0,-19.2714,0.66135,0.24474,1.8847,2,5
league,bundesliga,blend_60venue_40recent,0.10,0.15,2,0,2,0,-2.0,2.0,-100.0,0.75066,0.32617,1.7635,0,2
league,epl,blend_60venue_40recent,0.10,0.15,3,1,2,0,-1.091,3.0,-36.3667,0.62713,0.23409,1.9697,1,2
league,la-liga,blend_60venue_40recent,0.10,0.15,4,2,2,0,-0.273,4.0,-6.825,0.76453,0.41957,1.859,1,3
league,serie-a,blend_60venue_40recent,0.10,0.15,7,3,4,0,-1.349,7.0,-19.2714,0.66135,0.24474,1.8847,2,5
league,bundesliga,blend_60venue_40recent,0.10,0.20,1,0,1,0,-1.0,1.0,-100.0,0.81589,0.46861,1.8,0,1
league,epl,blend_60venue_40recent,0.10,0.20,2,1,1,0,-0.091,2.0,-4.55,0.64462,0.25897,1.9545,1,1
league,la-liga,blend_60venue_40recent,0.10,0.20,4,2,2,0,-0.273,4.0,-6.825,0.76453,0.41957,1.859,1,3
league,serie-a,blend_60venue_40recent,0.10,0.20,4,3,1,0,1.651,4.0,41.275,0.6928,0.29604,1.871,1,3
league,bundesliga,blend_60venue_40recent,0.10,0.25,1,0,1,0,-1.0,1.0,-100.0,0.81589,0.46861,1.8,0,1
league,epl,blend_60venue_40recent,0.10,0.25,1,1,0,0,0.909,1.0,90.9,0.66512,0.26972,1.909,0,1
league,la-liga,blend_60venue_40recent,0.10,0.25,4,2,2,0,-0.273,4.0,-6.825,0.76453,0.41957,1.859,1,3
league,serie-a,blend_60venue_40recent,0.10,0.25,3,3,0,0,2.651,3.0,88.3667,0.7026,0.32271,1.8837,0,3
league,bundesliga,blend_60venue_40recent,0.15,0.00,7,3,4,0,-1.455,7.0,-20.7857,0.6332,0.15244,1.8259,0,7
league,epl,blend_60venue_40recent,0.15,0.00,8,2,6,0,-4.364,8.0,-54.55,0.6084,0.12517,1.8495,3,5
league,la-liga,blend_60venue_40recent,0.15,0.00,10,5,5,0,-0.804,10.0,-8.04,0.64243,0.1922,1.8571,4,6
league,serie-a,blend_60venue_40recent,0.15,0.00,8,3,5,0,-2.349,8.0,-29.3625,0.63614,0.19933,1.8878,3,5
league,bundesliga,blend_60venue_40recent,0.15,0.05,6,3,3,0,-0.455,6.0,-7.5833,0.65014,0.17538,1.812,0,6
league,epl,blend_60venue_40recent,0.15,0.05,6,2,4,0,-2.364,6.0,-39.4,0.61392,0.1525,1.8782,2,4
league,la-liga,blend_60venue_40recent,0.15,0.05,7,4,3,0,0.469,7.0,6.7,0.67075,0.25955,1.8826,2,5
league,serie-a,blend_60venue_40recent,0.15,0.05,7,3,4,0,-1.349,7.0,-19.2714,0.64931,0.22233,1.8847,2,5
league,bundesliga,blend_60venue_40recent,0.15,0.10,5,2,3,0,-1.364,5.0,-27.28,0.66566,0.19187,1.7926,0,5
league,epl,blend_60venue_40recent,0.15,0.10,4,1,3,0,-2.091,4.0,-52.275,0.62113,0.19557,1.9272,1,3
league,la-liga,blend_60venue_40recent,0.15,0.10,5,3,2,0,0.636,5.0,12.72,0.71622,0.33685,1.869,1,4
league,serie-a,blend_60venue_40recent,0.15,0.10,7,3,4,0,-1.349,7.0,-19.2714,0.64931,0.22233,1.8847,2,5
league,bundesliga,blend_60venue_40recent,0.15,0.15,2,0,2,0,-2.0,2.0,-100.0,0.7377,0.3031,1.7635,0,2
league,epl,blend_60venue_40recent,0.15,0.15,3,1,2,0,-1.091,3.0,-36.3667,0.61701,0.214,1.9697,1,2
league,la-liga,blend_60venue_40recent,0.15,0.15,4,2,2,0,-0.273,4.0,-6.825,0.74581,0.38573,1.859,1,3
league,serie-a,blend_60venue_40recent,0.15,0.15,6,3,3,0,-0.349,6.0,-5.8167,0.65935,0.23862,1.8807,1,5
league,bundesliga,blend_60venue_40recent,0.15,0.20,1,0,1,0,-1.0,1.0,-100.0,0.79738,0.43528,1.8,0,1
league,epl,blend_60venue_40recent,0.15,0.20,1,1,0,0,0.909,1.0,90.9,0.65984,0.25964,1.909,0,1
league,la-liga,blend_60venue_40recent,0.15,0.20,3,1,2,0,-1.0,3.0,-33.3333,0.76481,0.45111,1.903,0,3
league,serie-a,blend_60venue_40recent,0.15,0.20,3,3,0,0,2.651,3.0,88.3667,0.69509,0.30862,1.8837,0,3
league,bundesliga,blend_60venue_40recent,0.15,0.25,1,0,1,0,-1.0,1.0,-100.0,0.79738,0.43528,1.8,0,1
league,epl,blend_60venue_40recent,0.15,0.25,1,1,0,0,0.909,1.0,90.9,0.65984,0.25964,1.909,0,1
league,la-liga,blend_60venue_40recent,0.15,0.25,3,1,2,0,-1.0,3.0,-33.3333,0.76481,0.45111,1.903,0,3
league,serie-a,blend_60venue_40recent,0.15,0.25,3,3,0,0,2.651,3.0,88.3667,0.69509,0.30862,1.8837,0,3
league,bundesliga,blend_60venue_40recent,0.25,0.00,8,3,5,0,-2.455,8.0,-30.6875,0.62611,0.13867,1.8226,0,8
league,epl,blend_60venue_40recent,0.25,0.00,6,1,5,0,-4.091,6.0,-68.1833,0.60515,0.14309,1.8903,1,5
league,la-liga,blend_60venue_40recent,0.25,0.00,8,4,4,0,-0.531,8.0,-6.6375,0.64571,0.20973,1.8764,2,6
league,serie-a,blend_60venue_40recent,0.25,0.00,7,3,4,0,-1.349,7.0,-19.2714,0.63482,0.19542,1.8847,2,5
league,bundesliga,blend_60venue_40recent,0.25,0.05,7,3,4,0,-1.455,7.0,-20.7857,0.63457,0.15556,1.8259,0,7
league,epl,blend_60venue_40recent,0.25,0.05,6,1,5,0,-4.091,6.0,-68.1833,0.60515,0.14309,1.8903,1,5
league,la-liga,blend_60venue_40recent,0.25,0.05,7,4,3,0,0.469,7.0,6.7,0.66511,0.23686,1.8587,1,6
league,serie-a,blend_60venue_40recent,0.25,0.05,6,3,3,0,-0.349,6.0,-5.8167,0.64903,0.21979,1.8807,1,5
league,bundesliga,blend_60venue_40recent,0.25,0.10,6,3,3,0,-0.455,6.0,-7.5833,0.64866,0.17316,1.812,0,6
league,epl,blend_60venue_40recent,0.25,0.10,4,1,3,0,-2.091,4.0,-52.275,0.61229,0.17795,1.9272,1,3
league,la-liga,blend_60venue_40recent,0.25,0.10,5,3,2,0,0.636,5.0,12.72,0.69768,0.30366,1.869,1,4
league,serie-a,blend_60venue_40recent,0.25,0.10,5,3,2,0,0.651,5.0,13.02,0.66172,0.24909,1.8902,0,5
league,bundesliga,blend_60venue_40recent,0.25,0.15,2,0,2,0,-2.0,2.0,-100.0,0.72302,0.27692,1.7635,0,2
league,epl,blend_60venue_40recent,0.25,0.15,2,1,1,0,-0.091,2.0,-4.55,0.62957,0.22929,1.9545,0,2
league,la-liga,blend_60venue_40recent,0.25,0.15,4,2,2,0,-0.091,4.0,-2.275,0.71261,0.35413,1.9045,0,4
league,serie-a,blend_60venue_40recent,0.25,0.15,5,3,2,0,0.651,5.0,13.02,0.66172,0.24909,1.8902,0,5
